ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_1359100,3.1011460140941143,2.9381720432470138,4.245271352349362,1.6738729139439352,4.845497994581407,4.522786848566137,3.425703576030429
PF3D7_1318000,3.686083216213577,3.3869144949815744,3.5415251664592837,3.676954682253687,3.0994255982619534,1.091625688873101,3.4262049854891248
PF3D7_0310200,2.6385228114337997,2.560246728262854,3.851219324324625,2.495386519820209,4.799018279419048,3.6956703838670126,3.4264677129566836
PF3D7_0403300,3.666950018979677,4.310022667194486,3.486594325825781,1.9133506272684064,3.998120290355928,3.2243082987831686,3.42702197766115
PF3D7_0822300,3.0051548840417275,3.077363597086399,3.2310818121139517,2.9571566104024605,4.4456555094154835,4.25984953317616,3.427814382254574
PF3D7_1038200,3.8130112143884234,3.894678122113183,2.6246267618208345,3.0955571950778435,4.128038856319538,3.7810399153205263,3.4357252338328497
PF3D7_1120000,2.7834306452129303,3.4226785876922565,3.5154011291085743,2.864606625651254,3.948049800553591,2.9836463774855964,3.4376840357514187
PF3D7_1414800,3.471947928929925,4.540170740720935,2.2383980902621508,3.087149198265025,3.885446160931942,3.720879169295373,3.4377910475450135
PF3D7_1433000,3.3181705453978254,3.677140962585389,2.3943205356867185,3.1210818184677924,4.56439146109916,4.9315993226150185,3.439233694459765
PF3D7_1361200,2.3559089505451323,3.349818201262363,3.819116940020132,2.444492192476767,4.144140919254148,3.6329038820572315,3.439392063253353
PF3D7_1308200,2.1904463545192554,3.8025602922042485,2.6297348640710916,3.5764419308457933,3.759593891733749,3.0863901275733423,3.442082744713721
PF3D7_1474600,1.7525583625289227,2.9968882635330343,4.129922280164632,2.5346853493411823,4.111434074804985,3.614781583594009,3.4432324919609583
PF3D7_1336700,1.420873332714046,1.8522545833218511,5.362811491531649,1.002172692718062,5.568894469506468,5.3617085964154985,3.4465333092695074
PF3D7_1445700,2.313278845125688,3.8797373069790937,3.9135350246273815,2.5658648799637938,3.4321404494105967,2.320629854911548,3.4478194152452164
PF3D7_1123100,2.547509314789684,3.0681439729921243,3.859265074307165,2.5900445674018946,4.3092920390629565,2.858163350772055,3.456686413441035
PF3D7_1461800,2.4731916568164447,2.6129207220193966,3.754499693291933,2.7155402780455744,4.745994219525853,3.654172743397592,3.4572387282206893
PF3D7_0823300,2.882608185900721,3.4711600949584978,4.131490123716619,2.445556700670859,3.7812543374461334,2.8399590636716043,3.4573653141980265
PF3D7_1136600,2.066948967547376,2.7047228044270897,4.31666400096378,2.1309745892962675,4.703680821438507,3.8357214965399935,3.4640105540314114
PF3D7_0925900,1.7289231578660778,3.8640257055577183,3.174099113572935,3.5840195738837783,3.239027327515453,1.8463966113677936,3.4652929301324713
PF3D7_0819000,2.1698949821987656,2.737795899943093,4.07349334363963,2.5145634999664717,4.559085159187122,3.3739349545590014,3.4712344756840783
PF3D7_0827000,2.544902117219256,3.1446446529126626,4.118020242349847,1.844218002126714,4.7890073313428285,3.9859601657516768,3.4739725571830133
PF3D7_0604500,2.267442939948442,2.7492982235936285,3.9030088897765953,2.9377509862170856,4.332464926309228,2.854327829502433,3.4806307564741346
PF3D7_1248200,1.9786623342707816,3.43191284112126,3.7690000146598455,3.05895755065384,3.683789652985353,2.3219606360951097,3.4859150148550753
PF3D7_0825500,2.078499435366179,3.1285192678751126,3.7652091497748783,2.796070948440692,4.270505742277344,3.0513771222738457,3.4900762770920064
PF3D7_0630900,2.2188226955056187,3.3739920005661777,4.057713106031649,2.1116428840671317,4.4324093498946695,3.7393290173672336,3.493939335139907
PF3D7_0928500,2.9794536952868254,3.6542894345856185,4.02008567499115,1.9826316065386165,4.330708307578848,3.1648090179923525,3.496928755923558
PF3D7_1407300,1.5729772944700924,1.889597086292472,5.276733961958398,1.4988941429068057,5.336303412808321,5.011511979420709,3.5003821509914994
PF3D7_0720100,2.9806824731336583,3.8429623103867794,3.1053131317971205,3.004408165577828,4.057338273721914,3.086382810644859,3.5025054703709104
PF3D7_1117300,2.9793633524622503,3.4856035827997705,4.6911631915218095,2.0367090948574447,3.812242507362166,3.045421768865149,3.5064295941352976
PF3D7_1359500,2.0217771910334017,3.1761981292607167,4.6695251197413,1.6426240353603996,4.552411015891941,3.890126521158874,3.5101895750635888
PF3D7_0903600.2,5.595590435124291,4.336341099635892,5.754236049843985,2.9425434500980714,1.0109848208461665,2.7440413902081446,3.511026355106029
PF3D7_1338200,2.6179248367908032,3.968787712502962,3.5305705484006533,2.9648401941535028,3.5825979999222763,2.5474239570032475,3.5116991137448488
PF3D7_1009400,2.2952205929577554,3.4372894813479977,3.9206824534191367,2.146899518366637,4.580326941447544,4.498100018737247,3.521299598645329
PF3D7_0916900,3.148628945999062,3.859337153803595,4.377142051181456,1.6119942981685038,4.237987970159812,3.7352637131693167,3.5216153683283418
PF3D7_0921900,1.8184750795650249,3.074500958439462,4.3687345799961665,2.21632065650458,4.466786419921063,3.553039996442542,3.5315856537153185
PF3D7_0905100,3.1317857494611037,3.1835609927368864,5.008870675712825,2.4888806996302986,3.4593268571424747,3.4234477720304715,3.535159806305621
PF3D7_1245800,3.768556539695705,3.423766362843251,3.935334035644875,1.6601190673368382,5.128614089492491,4.423135276352278,3.536958388829364
PF3D7_1311000,3.5719487403246752,3.5461239315992765,2.441835135636618,3.612277130955639,4.579101135956104,2.6808884895349765,3.5448343335369104
PF3D7_1036900,1.8415810441005576,2.9090020975378565,4.118454065922808,2.771245461732321,4.3928146306101095,3.4245470623637706,3.5478790639507736
PF3D7_0420000,2.62038606616096,2.8847312421436926,3.9504355909285054,2.835221480687334,4.550277306478833,2.986567944602549,3.5551664050595915
PF3D7_0422400,2.5638725368966444,3.4670528102526013,4.489129516163904,2.5205935676068942,3.7507939265332304,3.489136888987156,3.5568924551391574
PF3D7_1327300,1.7004225004879026,2.717612390122124,4.124299302497477,2.9027075711858283,4.517650820102845,2.448492090683798,3.5655675209770683
