,Ring,Trophozoite,Schizont
0,PF3D7_0501400,PF3D7_1035800,PF3D7_0912700
1,PF3D7_1421100,PF3D7_0702500,PF3D7_0302500
2,PF3D7_0301800,PF3D7_0601900,PF3D7_1419000
3,PF3D7_1001100.2,PF3D7_1401500,PF3D7_0518200
4,PF3D7_0814500,PF3D7_1301400,PF3D7_0105300
5,PF3D7_0202200,PF3D7_0532300,PF3D7_1001600
6,PF3D7_0918700,PF3D7_1477500,PF3D7_1422100
7,PF3D7_0219700,PF3D7_1301400,PF3D7_1409400
8,PF3D7_0605900,PF3D7_0532300,PF3D7_1124600
9,PF3D7_0731800,PF3D7_1477500,PF3D7_1339400
10,PF3D7_0301200,,PF3D7_1021900
11,PF3D7_0830500,,PF3D7_0622600
12,PF3D7_1148800,,PF3D7_1224100
13,PF3D7_1149200,,PF3D7_0905400
14,,,PF3D7_1319400
15,,,PF3D7_1028800
16,,,PF3D7_1326000
17,,,PF3D7_1356300
18,,,PF3D7_1405600
19,,,PF3D7_1410400
