HPI,AA13 Rings,AA13 Trophozoites,AA13 Schizonts,AA17 Rings,AA17 Trophozoites,AA17 Schizonts,AS18 Rings,AS18 Trophozoites,AS18 Schizonts,AS19 Rings,AS19 Trophozoites,AS19 Schizonts
3,0.998027613,0.001972387,0,1,0,0,1,0,0,1,0,0
6,1,0,0,1,0,0,1,0,0,1,0,0
9,1,0,0,0.996015936,0.003984064,0,1,0,0,1,0,0
12,0.998027613,0.001972387,0,1,0,0,1,0,0,0.998,0.002,0
15,0.974051896,0.025948104,0,0.964143426,0.035856574,0,1,0,0,1,0,0
18,0.938735178,0.061264822,0,0.892430279,0.107569721,0,0.920159681,0.079840319,0,0.896825397,0.103174603,0
21,0.293650794,0.706349206,0,0.602362205,0.397637795,0,0.121272366,0.878727634,0,0.580516899,0.419483101,0
24,0.048484848,0.951515152,0,0.085828343,0.914171657,0,0.077380952,0.922619048,0,0.059642147,0.940357853,0
27,0.009960159,0.990039841,0,0.005952381,0.994047619,0,0.015968064,0.984031936,0,0.003984064,0.996015936,0
30,0.039292731,0.960707269,0,0.013384321,0.986615679,0,0.00591716,0.99408284,0,0.013888889,0.986111111,0
33,0.017964072,0.974051896,0.007984032,0.005928854,0.990118577,0.003952569,0.028,0.972,0,0.001980198,0.998019802,0
36,0.023762376,0.976237624,0,0.003976143,0.984095427,0.011928429,0,0.986111111,0.013888889,0.008,0.976,0.016
39,0.007984032,0.978043912,0.013972056,0.001984127,0.910714286,0.087301587,0.025793651,0.928571429,0.045634921,0.035643564,0.930693069,0.033663366
42,0.005859375,0.232421875,0.76171875,0.001988072,0.105367793,0.892644135,0.011952191,0.185258964,0.802788845,0.003891051,0.229571984,0.766536965
45,0.015625,0.103515625,0.880859375,0.013888889,0.109126984,0.876984127,0.039761431,0.115308151,0.844930417,0.008,0.086,0.906
48,0.013916501,0.049701789,0.93638171,0,0.088235294,0.911764706,0.09,0.042,0.868,0.011070111,0.112546125,0.876383764
