"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes.ORF","genes.GENENAME"
"PF3D7_0100100",838.018261111268,1.31786151650558,0.575071224017121,2.29164921050953,0.0219258933838793,0.249657665078979,"PF3D7_0100100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"PF3D7_0100200",8.72828687323751,-0.182414350919477,1.25013210715148,-0.145916059491602,0.883987653641531,NA,"PF3D7_0100200","rifin (RIF)"
"PF3D7_0100300",206.580113688324,1.8349573245471,0.924720258232592,1.98433775859332,0.0472181995666682,0.354719249580072,"PF3D7_0100300","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"PF3D7_0100400",278.34949030075,-1.63202381471884,1.45586875551566,-1.12099652426485,0.262289341899287,0.665638961033036,"PF3D7_0100400","rifin (RIF)"
"PF3D7_0100500",0.524299004928441,0,4.91218066552972,0,1,NA,"PF3D7_0100500","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene"
"PF3D7_0100600",1.92705039621843,-1.39279441915875,2.15536617855681,-0.646198512816666,0.518150802550303,NA,"PF3D7_0100600","rifin (RIF)"
"PF3D7_0100700",1.74102606498083,0.158264065718539,2.07637694148056,0.0762212595202914,0.939243069236509,NA,"PF3D7_0100700","Plasmodium exported protein, unknown function, fragment"
"PF3D7_0100800",2.83886282072827,-2.47568163684692,1.53636849674172,-1.61138531680209,0.107095765541272,NA,"PF3D7_0100800","rifin (RIF)"
"PF3D7_0100900",14.4703365315436,-2.08042270095391,1.44572007943049,-1.43902179305239,0.150144348278113,0.56473022625933,"PF3D7_0100900","rifin (RIF)"
"PF3D7_0101000",5.78357924267772,2.59740124352538,1.53708700253901,1.68982057569605,0.0910622861559136,NA,"PF3D7_0101000","rifin (RIF)"
"PF3D7_0101100",356.251863038561,-0.379603431083281,1.35154338768609,-0.280866625919558,0.7788126993228,0.930761402466045,"PF3D7_0101100","exported protein family 4 (EPF4)"
"PF3D7_0101200",538.675593013076,-0.331461232145295,0.553237578095259,-0.59913000358089,0.549086195205237,0.838730792834276,"PF3D7_0101200","exported protein family 3 (EPF3)"
"PF3D7_0101300",1.13749584299624,1.91785297447116,2.50759808667517,0.764816732259532,0.444380682761317,NA,"PF3D7_0101300","Pfmc-2TM Maurer's cleft two transmembrane protein (MC-2TM)"
"PF3D7_0101400",0.485513005407927,1.70188530245428,4.90982140882398,0.34662875912261,0.72887023727917,NA,"PF3D7_0101400","exported protein family 1, pseudogene (EPF1)"
"PF3D7_0101500",5.195604583027,3.86745474128826,1.42284753710879,2.71810903165835,0.00656561986044493,NA,"PF3D7_0101500","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)"
"PF3D7_0101600",16.4319297354695,1.37349171945775,1.82837416273679,0.751209324355061,0.452526689471763,0.78742288884984,"PF3D7_0101600","rifin (RIF)"
"PF3D7_0101800",1.26431622563415,2.74513431436761,1.95887453329603,1.40138343099933,0.161099444290634,NA,"PF3D7_0101800","stevor"
"PF3D7_0101900",3.43135790167345,3.78505608506134,1.38303871272314,2.73676799516967,0.00620460339970004,NA,"PF3D7_0101900","rifin (RIF)"
