"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes.ORF","genes.GENENAME"
"PF3D7_0100100",838.018261111268,1.03414076106585,0.416272250482448,2.48428945207688,0.0129810246276981,0.757911697878125,"PF3D7_0100100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"PF3D7_0100200",8.72828687323751,0.813546430178019,0.73545177560697,1.10618596237204,0.268646037486959,NA,"PF3D7_0100200","rifin (RIF)"
"PF3D7_0100300",206.580113688324,1.61965627549136,0.574433428447415,2.81957176459766,0.00480877768134135,0.392677748222704,"PF3D7_0100300","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"PF3D7_0100400",278.34949030075,-0.819038876007287,0.998595078835288,-0.820191179955116,0.412107129238171,0.999062845448735,"PF3D7_0100400","rifin (RIF)"
"PF3D7_0100500",0.294891744095132,-0.149266138697355,2.95868817544622,-0.0504501082392174,0.959763706594322,NA,"PF3D7_0100500","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene"
"PF3D7_0100600",1.26113501654347,-1.79508177650129,1.16990801661427,-1.5343785588343,0.124936549281245,NA,"PF3D7_0100600","rifin (RIF)"
"PF3D7_0100700",1.33467346551129,1.67834716341182,1.1142811828045,1.50621511815145,0.132011959693362,NA,"PF3D7_0100700","Plasmodium exported protein, unknown function, fragment"
"PF3D7_0100800",1.80064834924349,-1.00161445731592,0.873849234697935,-1.14620968645942,0.251708400894016,NA,"PF3D7_0100800","rifin (RIF)"
"PF3D7_0100900",4.84844653280867,0.513373008370678,0.742422652060724,0.691483492516992,0.489261750977041,NA,"PF3D7_0100900","rifin (RIF)"
"PF3D7_0101000",5.78357924267772,1.70401479981455,0.893195026551312,1.90777461714478,0.0564203527918834,NA,"PF3D7_0101000","rifin (RIF)"
"PF3D7_0101100",356.251863038561,0.303289085548047,0.766876287873459,0.395486325948433,0.692484011179443,0.999062845448735,"PF3D7_0101100","exported protein family 4 (EPF4)"
"PF3D7_0101200",538.675593013076,-0.425929481722485,0.436286179351549,-0.976261687582089,0.328934800618515,0.999062845448735,"PF3D7_0101200","exported protein family 3 (EPF3)"
"PF3D7_0101300",1.13749584299624,1.06618506962688,1.49286930787665,0.71418513596702,0.475112706904086,NA,"PF3D7_0101300","Pfmc-2TM Maurer's cleft two transmembrane protein (MC-2TM)"
"PF3D7_0101400",0.485513005407927,1.64682346899159,2.89729073395332,0.568401178967813,0.569762590070629,NA,"PF3D7_0101400","exported protein family 1, pseudogene (EPF1)"
"PF3D7_0101500",5.195604583027,1.13350287583205,0.871776852424998,1.30022134985463,0.193525115260151,NA,"PF3D7_0101500","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)"
"PF3D7_0101600",16.4319297354695,0.738530566205649,0.995210883183249,0.742084495542703,0.458036143038592,NA,"PF3D7_0101600","rifin (RIF)"
"PF3D7_0101800",1.26431622563415,-1.7594550032261,1.19112277650782,-1.47713992035694,0.139638134529629,NA,"PF3D7_0101800","stevor"
"PF3D7_0101900",3.43135790167345,-0.0114016630359641,0.846214163894153,-0.0134737322092263,0.989249842361402,NA,"PF3D7_0101900","rifin (RIF)"
"PF3D7_0102000",3.08398914548383,-0.142439819167055,0.557479740170806,-0.255506718725622,0.798331754997264,NA,"PF3D7_0102000","Plasmodium exported protein (PHISTa), unknown function, pseudogene"
"PF3D7_0102100",5.14354497280587,-1.17912592958479,0.659905375430611,-1.78681061480272,0.073968103150574,NA,"PF3D7_0102100","stevor, pseudogene"
"PF3D7_0102200",489087.087990362,-0.203159110364922,0.645762787615068,-0.314603309855047,0.753062865789598,0.999062845448735,"PF3D7_0102200","ring-infected erythrocyte surface antigen (RESA)"
"PF3D7_0102300",5.08720152569642,0.392665983507296,0.555715593760945,0.706595222296768,0.47981805884769,NA,"PF3D7_0102300","Plasmodium exported protein, unknown function"
