"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0100100",7.628303,6.708872,13.737758,3.6803,8.809385,1.735473,4.864716,12.776751,4.373963,1.182658,7.143893,19.464162,0.791333,3.954426,11.106708,3.446565,2.61266,7.971561,8.962934,22.674106,5.371701,10.112979,9.574242,15.342834,1.530445,31.911569,2.102356,17.285835,7.222603,4.96195,20.192299,28.641983
"PF3D7_0100200",0,0.107827,0,3.534044,0.592069,0.892528,1.041668,0.604012,1.413046,0.617838,0.377811,0.20988,0,0.332458,0,0.05532,1.406252,0.203769,0.336576,1.501999,0.280896,7.103806,1.004378,0,0.662139,0,3.743939,0,0.269878,2.681301,0,0.052336
"PF3D7_0100300",1.106252,1.286525,1.177065,0.43272,0.685952,0.831862,7.013223,3.996594,0.631741,0.304356,2.206997,2.787056,0.066279,4.793202,7.279909,0.067663,0.366125,1.812766,3.622308,6.264546,2.235507,0.488614,1.280053,6.217418,0.863225,12.354878,7.186921,26.267467,0.690179,12.845918,2.509854,2.627634
"PF3D7_0100400",0,22.755793,0.046119,18.041377,34.873308,78.877177,58.915157,0.477446,77.090471,0,107.90733,36.485163,51.157958,37.988636,0,0.161991,0,24.922096,0.167802,0.061212,131.731069,1.80626,0,1.797133,37.552403,2.140259,22.61335,0,0.820489,81.036879,1.358772,0.67858
"PF3D7_0100500",33.975409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.746166,0,0,0,0,0,0,0,0,7.94303,0,0
"PF3D7_0100600",0.235384,0,0,0.130698,0.120223,0.047585,0.635478,0.377113,0,0.422171,1.335004,0,0,0,0,0,0.046325,0,0.275183,0,0,0,0.173471,0,0,0,0,0,0,2.021029,0,0.125684
"PF3D7_0100700",0,0,0,2.337453,1.111937,0.43192,2.71276,0,0,1.976244,21.611198,2.996848,0,0,0,0,0,0,0,17.801956,0.389552,0,0,0,6.20723,3.681262,0,1.875055,0,21.708512,0,0
"PF3D7_0100800",0,0,0.04632,2.659063,0.216855,0.286007,0.096233,0,0,0,0.370691,0.154213,0.906363,0,0.838351,0.995288,0.039865,0,0,0.199682,0.077167,1.068494,0,0,0,0,0,0,0.156151,0.245987,0,0
"PF3D7_0100900",0,0.233199,0,13.874797,0.138521,0.787183,1.421981,0.633379,0.312877,0.17877,0.279322,0.728445,0.692888,0.329936,0,0.026484,0,9.264842,0,0.285099,0.827715,3.668112,0.481611,0,0,0,1.226496,0,0.92683,0.078879,0,0.800315
"PF3D7_0101000",0,0.342579,0.023837,0.173584,0.894729,1.241689,0,0.169406,0,0.381598,0.754648,0,0,0.106469,0,0.024813,0.21325,0.137544,3.521305,0.252536,0.149199,1.661834,3.883506,0.434364,0,0,0,1.813315,0,0.195277,0,0
"PF3D7_0101100",14.835453,53.23526,0,38.141572,101.251677,42.102897,11.736052,10.020149,50.459188,85.260522,18.346782,0,0,42.753177,92.04233,43.795035,77.646619,0,49.710806,0.474512,112.423233,0,80.650942,31.125502,86.769717,30.871211,27.606935,6.517464,19.827893,81.486697,13.20725,38.021039
"PF3D7_0101200",70.60594,60.098657,3.457397,67.619022,93.133668,699.997744,164.99059,26.722972,124.597735,114.410752,193.602565,84.297681,31.15154,129.613779,80.411006,9.246916,135.440121,22.050123,72.376078,225.111416,140.299869,18.016011,100.375969,28.375484,191.781256,37.995958,96.860224,21.314826,15.688953,127.11921,18.509116,35.609031
