"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0100100",292.3,530.854,4578.754,675.1,1905.711,396.308,414.725,1301.736,303.528,64.941,1348.367,2937.681,20.807,332.375,104.709,1024.069,493.002,1052.2,790.258,2638.049,1327.964,314.384,574.245,343.118,53.723,935.402,87.317,1026.91,725.925,498.483,945.249,4549.853
"PF3D7_0100200",0,1.001,0,77.898,15.334,24.951,10.268,7.191,11.486,4.003,8.572,3.772,0,3.425,0,2.019,31.758,3.203,3.562,21.514,8.586,26.33,7.077,0,2.711,0,18.29,0,3.267,32.234,0,1
"PF3D7_0100300",25.29,60.797,235.486,47.507,88.782,113.888,356.597,243.087,26.177,9.986,249.318,251.547,1.041,241.562,41.08,12.057,41.333,143.088,191.127,437.204,331.639,9.085,45.856,83.138,18.087,216.527,178.302,932.02,41.526,772.082,70.397,249.85
"PF3D7_0100400",0,246.91,2.207,462.818,1051.795,2558.734,680.103,6.646,732.344,0,2849.202,764.24,185.128,454.03,0,6.858,0,456.56,2.067,1.017,4665.12,7.801,0,5.572,179.823,8.692,129.013,0,11.555,1134.578,8.985,15.093
"PF3D7_0100500",5.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3,0,0
"PF3D7_0100600",1.168,0,0,3.203,3.464,1.476,6.996,5.008,0,3.048,33.677,0,0,0,0,0,1.164,0,3.238,0,0,0,1.363,0,0,0,0,0,0,27.028,0,2.671
"PF3D7_0100700",0,0,0,4,2.275,1.001,2,0,0,1,39.063,4.009,0,0,0,0,0,0,0,21.011,1,0,0,0,2,1,0,1,0,20.61,0,0
"PF3D7_0100800",0,0,2.01,61.654,5.909,8.402,1,0,0,0,8.847,2.917,2.959,0,1,38.172,0.947,0,0,3.005,2.477,4.168,0,0,0,0,0,0,1.988,3.112,0,0
"PF3D7_0100900",0,2.335,0,329.04,3.861,23.641,15.128,8.132,2.742,1.248,6.818,14.095,2.314,3.651,0,1.038,0,156.79,0,4.385,27.159,14.637,3.658,0,0,0,6.458,0,12.069,1.021,0,16.457
"PF3D7_0101000",0,3.534,1.088,4.239,25.683,38.378,0,2.241,0,2.745,18.968,0,0,1.212,0,1.001,5.338,2.398,41.289,3.997,5.037,6.83,30.393,1.281,0,0,0,14.053,0,2.602,0,0
"PF3D7_0101100",59.95,449.897,0,767.385,2391.735,1076.267,105.103,108.515,373.222,502.924,379.857,0,0,402.707,95.346,1463.104,1599.368,0,479.86,6.217,3144.78,0,517.154,75.439,323.143,98.008,122.742,41.385,219.03,893.492,68.709,663.172
