ORF,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,AA09,AA10,AA11,AA12,AA13,AA14,AA15,AA16,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16
PF3D7_0100700,0.0,0.0,0.0,4.0,2.275,1.001,2.0,0.0,0.0,1.0,39.063,4.0089999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.011,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,20.61,0.0,0.0
PF3D7_0101100,59.95,449.897,0.0,767.385,2391.735,1076.267,105.103,108.515,373.222,502.92400000000004,379.85699999999997,0.0,0.0,402.707,95.346,1463.104,1599.368,0.0,479.86,6.2170000000000005,3144.78,0.0,517.154,75.439,323.143,98.008,122.742,41.385,219.03,893.492,68.709,663.172
PF3D7_0101200,183.687,329.316,87.95100000000001,896.0,1445.0,11942.044,951.0,187.155,597.893,438.856,2647.4309999999996,903.9960000000001,57.388000000000005,814.9760000000001,55.0,206.887,1835.98,206.71,459.707,1971.9389999999999,2629.81,40.0,417.83,45.0,462.707,79.0,280.216,88.0,114.0,916.9,64.0,409.004
PF3D7_0101300,0.0,0.0,0.0,6.541,1.2919999999999998,0.0,0.0,0.0,1.3219999999999998,0.0,1.1440000000000001,2.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209,0.0,4.688,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.213,0.0,0.0
PF3D7_0101400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.847000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0102000,1.0,5.0,0.0,5.0,13.0,23.0,1.0,2.0,3.0,0.0,27.0,15.0,1.0,4.0,0.0,2.0,7.0,8.0,2.0,4.0,31.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,1.0,2.0
PF3D7_0102200,303866.512,720217.699,5989.895,369736.597,1839672.7219999998,2259039.313,492196.03799999994,209689.658,411913.643,390646.648,2233739.954,471442.93299999996,248699.11899999998,1516766.856,30669.426,8186.0,1916217.759,477851.32899999997,404080.29299999995,1471330.229,3722940.312,20456.106,626157.635,3499.0029999999997,298504.684,4376.532,441074.862,4736.272,171751.082,1386436.646,3105.9509999999996,5904.590999999999
PF3D7_0102300,5.0,0.0,26.0,3.0,32.0,7.0,1.0,3.0,4.0,1.0,30.0,1.0,1.0,20.0,0.0,3.0,12.0,1.0,3.0,46.0,53.0,5.0,7.0,0.0,1.0,0.0,1.0,3.0,1.0,20.0,1.0,3.0
PF3D7_0102400,1.0,0.0,1.0,1.001,1.0,5.0280000000000005,1.0,2.782,3.153,0.0,3.013,0.99,0.0,0.0,0.0,22.0,0.0,3.0,0.0,6.126,4.004,1.0,1.205,0.0,0.782,0.0,0.0,0.0,0.0,4.178,0.0,1.0
PF3D7_0102500,11.0,31.0,169.803,24.0,313.0,87.005,25.0,10.0,13.0,15.0,239.0,5.0,4.0,129.0,8.0,388.001,107.0,36.0,33.0,125.00200000000001,171.0,31.0,37.019,3.0,4.0,5.0,33.0,1.0,17.0,76.0,4.0,13.0
PF3D7_0102600,741.0,499.0,3239.243,4077.0,1620.02,4911.137,1000.0,1382.0,468.0,534.0,1782.0,926.0010000000001,313.0,683.0,153.0,3633.36,1925.174,564.0,1254.0,398.0,2662.612,1771.0,223.0,977.0,311.0,62.0,562.0,283.0,767.0,867.0,51.0,130.0
PF3D7_0102700,600.0,733.0,20.0,859.0,1101.0,9381.445,1219.469,569.0,591.0,696.0010000000001,2535.991,773.904,446.0,1559.04,48.0,149.0,3122.357,524.0,938.937,2137.485,8634.235,15.0,655.097,17.0,864.0,10.0,476.0,2.0,390.0,1158.98,4.0,1.0
PF3D7_0102800,4.0,7.0,47.012,23.003,57.038999999999994,31.003,3.0,4.0,26.004,6.154,62.0,5.0,0.0,9.0,1.0,39.014,32.039,33.0,22.0,48.012,78.012,1.0,15.0,3.0,2.0,6.0,16.000999999999998,10.0,12.0,23.021,12.0,4.0280000000000005
