"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes.ORF","genes.GENENAME"
"PF3D7_0100100",3499.37060725897,0.401973532032222,0.340581120733628,1.18025782276584,0.237897687629382,0.892147151011279,"PF3D7_0100100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"PF3D7_0100200",79.4931441983641,3.8650326694497,1.65997244962413,2.32837157648301,0.0198923815866921,0.623546521841944,"PF3D7_0100200","rifin (RIF)"
"PF3D7_0100300",2792.30539998253,0.132415899957239,0.368318013366191,0.359515134074063,0.719209758221054,1,"PF3D7_0100300","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"PF3D7_0100400",24.6472905896088,0,2.09006604301282,0,1,1,"PF3D7_0100400","rifin (RIF)"
"PF3D7_0100600",8.88508960186196,1.86634698937685,2.07844356011735,0.897954135098801,0.369210001840402,0.921689975921562,"PF3D7_0100600","rifin (RIF)"
"PF3D7_0100700",0.272154840176181,0,16.4470292134717,0,1,1,"PF3D7_0100700","Plasmodium exported protein, unknown function, fragment"
"PF3D7_0100800",0.855158830928832,0,3.8171242461881,0,1,1,"PF3D7_0100800","rifin (RIF)"
"PF3D7_0100900",21.888169246975,-1.08516926120898,2.02239215748622,-0.536577071460669,0.591559785537451,0.971163997437544,"PF3D7_0100900","rifin (RIF)"
"PF3D7_0101000",4.60089377492615,0,2.12207704048347,0,1,1,"PF3D7_0101000","rifin (RIF)"
"PF3D7_0101100",481.53522996124,-0.146544555437236,1.54792877982133,-0.0946713811045946,0.92457585042269,1,"PF3D7_0101100","exported protein family 4 (EPF4)"
"PF3D7_0101200",472.380463523185,-0.286244909977298,0.330180019341711,-0.866935893177279,0.385977135735028,0.927987264888802,"PF3D7_0101200","exported protein family 3 (EPF3)"
"PF3D7_0101300",37.4142359543055,0,2.08886238592698,0,1,1,"PF3D7_0101300","Pfmc-2TM Maurer's cleft two transmembrane protein (MC-2TM)"
"PF3D7_0101400",0.138396390429927,0.882200756115078,16.3495494706741,0.0539587196391842,0.956968053255327,1,"PF3D7_0101400","exported protein family 1, pseudogene (EPF1)"
"PF3D7_0101500",103.695110859935,0.313447782808754,0.975813573214484,0.321216871144975,0.748046047739867,1,"PF3D7_0101500","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)"
"PF3D7_0101600",25.4149947910977,0,2.10097800053479,0,1,1,"PF3D7_0101600","rifin (RIF)"
"PF3D7_0101700",2.59416790698388,2.71331292821248,2.13587607856005,1.27035128837705,0.203959526443786,0.881122205027387,"PF3D7_0101700","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)"
"PF3D7_0101800",1.74816397826614,0.186848755962123,2.02097826594195,0.0924546092904345,0.926336853236205,1,"PF3D7_0101800","stevor"
"PF3D7_0101900",3.63370366029634,0,2.17006590491885,0,1,1,"PF3D7_0101900","rifin (RIF)"
"PF3D7_0102000",1.29750433353822,0,3.1184103164837,0,1,1,"PF3D7_0102000","Plasmodium exported protein (PHISTa), unknown function, pseudogene"
"PF3D7_0102100",1.29342699000771,0,2.92462403437756,0,1,1,"PF3D7_0102100","stevor, pseudogene"
"PF3D7_0102200",135570.874022145,0.469688008547159,0.445944748338913,1.05324260527047,0.292229816345737,0.899914629238024,"PF3D7_0102200","ring-infected erythrocyte surface antigen (RESA)"
"PF3D7_0102300",115.665473782153,0,2.08241929409409,0,1,1,"PF3D7_0102300","Plasmodium exported protein, unknown function"
"PF3D7_0102400",29.7339449841547,0,2.05850551631053,0,1,1,"PF3D7_0102400","lysophospholipase, putative, pseudogene"
"PF3D7_0102500",3448.41449367927,0,2.04935929719816,0,1,1,"PF3D7_0102500","erythrocyte binding antigen-181 (EBA181)"
"PF3D7_0102600",1848.13968511112,0,2.05019152943214,0,1,1,"PF3D7_0102600","serine/threonine protein kinase, FIKK family (FIKK1)"
"PF3D7_0102700",569.703065522448,0.111828360531148,0.346164074386883,0.323050162640983,0.74665725268604,1,"PF3D7_0102700","merozoite-associated tryptophan-rich antigen (MaTrA)"
"PF3D7_0102800",90.2927641080778,1.17530424062278,0.922274557478285,1.27435396660658,0.202537998726411,0.881122205027387,"PF3D7_0102800","conserved Plasmodium protein, unknown function"
"PF3D7_0102900",4732.28585555571,-0.092413829429796,0.101501295094023,-0.910469460948168,0.362574980193402,0.921045649506191,"PF3D7_0102900","aspartate--tRNA ligase"
"PF3D7_0103000",70.6297065319721,-2.37198197701596,1.54908439183585,-1.53121546477198,0.125716149954648,0.830621605511112,"PF3D7_0103000","vacuolar protein sorting-associated protein VTA1, putative"
"PF3D7_0103100",305.102920262982,-0.671514950231364,0.352273167428288,-1.90623360596451,0.0566199039545656,0.774254042543631,"PF3D7_0103100","vacuolar protein sorting-associated protein 51, putative (VPS51)"
"PF3D7_0103200",1592.93955335847,-0.0179339027468325,0.153409637690552,-0.11690206050162,0.906937665306893,1,"PF3D7_0103200","nucleoside transporter 4 (NT4)"
"PF3D7_0103300",3486.02975324431,-0.0247921469714552,0.0988501125575064,-0.250805450090229,0.801964527670868,1,"PF3D7_0103300","conserved Plasmodium protein, unknown function"
"PF3D7_0103400",4695.78968957675,-0.0650640438794,0.160659099149456,-0.404982003657776,0.685490739375581,0.995295529450804,"PF3D7_0103400","zinc-carboxypeptidase, putative"
"PF3D7_0103500",250.494930340228,0.184653113297849,0.271072681086619,0.681194108375845,0.495748675489152,0.955754278634338,"PF3D7_0103500","conserved Plasmodium protein, unknown function"
"PF3D7_0103600",1085.63479461471,0.247846679623417,0.187735456624416,1.32019110337404,0.186771221570342,0.860499068640107,"PF3D7_0103600","ATP-dependent RNA helicase, putative"
"PF3D7_0103700",233.077348742115,0.111036638414938,0.217991757563693,0.509361636677917,0.610498761547979,0.973290190655102,"PF3D7_0103700","L-seryl-tRNA(Sec) kinase, putative (PSTK)"
"PF3D7_0103800",74.1372096724506,-0.6183328682165,0.867666752954428,-0.712638655464279,0.476069385334538,0.95066934877126,"PF3D7_0103800","actin-related protein (ARP1)"
"PF3D7_0103900",551.491144428531,0.139246961995304,0.169052988634129,0.823688259641881,0.410116712017173,0.933555519499581,"PF3D7_0103900","parasite-infected erythrocyte surface protein (PIEPS15)"
"PF3D7_0104000",14.0975897197282,0.354505485082977,1.51334724971413,0.234252571675102,0.814788903875489,1,"PF3D7_0104000","thrombospondin-related sporozoite protein (TRSP)"
"PF3D7_0104100",256.197249594248,0.954703798163312,0.542152054163402,1.76095209975091,0.078246510673531,0.788784057614674,"PF3D7_0104100","conserved Plasmodium membrane protein, unknown function"
"PF3D7_0104200",3032.64954269025,-0.0121150015381093,0.181278666524306,-0.0668308178253558,0.946716389169216,1,"PF3D7_0104200","StAR-related lipid transfer protein"
"PF3D7_0104300",35199.4491107052,0.137014286254902,0.108975401701396,1.25729553748594,0.208646639301536,0.883659063140509,"PF3D7_0104300","ubiquitin carboxyl-terminal hydrolase 1, putative (UBP1)"
"PF3D7_0104400",987.356628498544,0.030745298542248,0.196713117156326,0.156295111310829,0.875800409594678,1,"PF3D7_0104400","4-hydroxy-3-methylbut-2-enyl diphosphate reductase (LytB)"
"PF3D7_0104500",912.588887913171,-0.083110297921568,0.157836256886353,-0.526560243895103,0.598499006148765,0.971163997437544,"PF3D7_0104500","conserved protein, unknown function"
"PF3D7_0104600",282.352429912595,0.225747026184088,0.197241927926136,1.14451845283436,0.252408689648075,0.892147151011279,"PF3D7_0104600","conserved Plasmodium protein, unknown function"
