"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes.ORF","genes.GENENAME"
"PF3D7_0100100",3499.37060725897,-0.0558348795962259,0.216836638719388,-0.257497441050462,0.796794790470465,0.935452577802515,"PF3D7_0100100","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"PF3D7_0100200",79.4931441983641,0.00427117231655101,0.403223208483038,0.0105925755926092,0.991548505522506,0.999054251181839,"PF3D7_0100200","rifin (RIF)"
"PF3D7_0100300",2792.30539998253,0.52481120164484,0.206153461573783,2.54573072718941,0.010904927127979,0.147085657102181,"PF3D7_0100300","erythrocyte membrane protein 1, PfEMP1 (VAR)"
"PF3D7_0100400",24.6472905896088,0.81850546494569,0.494546380310826,1.65506309930173,0.0979116990793431,0.412697811619431,"PF3D7_0100400","rifin (RIF)"
"PF3D7_0100600",8.88508960186196,-0.213925392528375,0.552847347935782,-0.386952010038807,0.698791736100555,NA,"PF3D7_0100600","rifin (RIF)"
"PF3D7_0100700",0.272154840176181,0,16.4470292134717,0,1,NA,"PF3D7_0100700","Plasmodium exported protein, unknown function, fragment"
"PF3D7_0100800",0.855158830928832,0.182980829206908,3.34895092540359,0.0546382533762739,0.956426662475071,NA,"PF3D7_0100800","rifin (RIF)"
"PF3D7_0100900",21.888169246975,0.0832169746046101,0.399377209075087,0.208366858983594,0.834942531101534,0.95051526498122,"PF3D7_0100900","rifin (RIF)"
"PF3D7_0101000",4.60089377492615,-0.808224164314144,0.765945854402519,-1.05519751777311,0.29133499918138,NA,"PF3D7_0101000","rifin (RIF)"
"PF3D7_0101100",481.53522996124,0.683951855395489,1.5369471340832,0.445006754122008,0.656314873137304,0.881930198308055,"PF3D7_0101100","exported protein family 4 (EPF4)"
"PF3D7_0101200",472.380463523185,0.761247711319752,0.364998190958099,2.08562050491681,0.0370130124525239,0.267445452835523,"PF3D7_0101200","exported protein family 3 (EPF3)"
"PF3D7_0101300",37.4142359543055,0.171703058985881,0.463499048782141,0.370449646956205,0.711047487842383,0.901147129417883,"PF3D7_0101300","Pfmc-2TM Maurer's cleft two transmembrane protein (MC-2TM)"
"PF3D7_0101400",0.138396390429927,0,16.4470292134717,0,1,NA,"PF3D7_0101400","exported protein family 1, pseudogene (EPF1)"
"PF3D7_0101500",103.695110859935,0.724572888505953,0.397467804871006,1.82297252664554,0.0683075520184102,0.350405271915942,"PF3D7_0101500","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)"
"PF3D7_0101600",25.4149947910977,0.314772849604872,0.535031364885608,0.588325975379353,0.556313513701731,0.830557107669468,"PF3D7_0101600","rifin (RIF)"
"PF3D7_0101700",2.59416790698388,0.509349364202521,1.58644340466585,0.321063684153173,0.748162130391481,NA,"PF3D7_0101700","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene (VAR)"
"PF3D7_0101800",1.74816397826614,0.440625129356688,1.62695831184608,0.270827547422969,0.786523671609334,NA,"PF3D7_0101800","stevor"
"PF3D7_0101900",3.63370366029634,-0.526651549189838,0.98943252878685,-0.53227636434752,0.594534599764895,NA,"PF3D7_0101900","rifin (RIF)"
"PF3D7_0102000",1.29750433353822,0.143498209728783,2.63305848413736,0.0544986792330199,0.956537860846993,NA,"PF3D7_0102000","Plasmodium exported protein (PHISTa), unknown function, pseudogene"
"PF3D7_0102100",1.29342699000771,-0.916485652307683,2.20818982013773,-0.41503934306269,0.678113102194617,NA,"PF3D7_0102100","stevor, pseudogene"
"PF3D7_0102200",135570.874022145,0.44127108921502,0.306740277948039,1.43858215219382,0.150268946116882,0.496697440880538,"PF3D7_0102200","ring-infected erythrocyte surface antigen (RESA)"
"PF3D7_0102300",115.665473782153,-0.831047432335861,0.422557888835028,-1.96670670290175,0.0492170336968524,0.302478440387217,"PF3D7_0102300","Plasmodium exported protein, unknown function"
"PF3D7_0102400",29.7339449841547,-0.0559790715511697,0.302843001000487,-0.184845188319474,0.853350463376883,0.956047783341838,"PF3D7_0102400","lysophospholipase, putative, pseudogene"
"PF3D7_0102500",3448.41449367927,0.262015539141559,0.193448182981131,1.35444817885478,0.175593435624734,0.53182730382629,"PF3D7_0102500","erythrocyte binding antigen-181 (EBA181)"
"PF3D7_0102600",1848.13968511112,0.791189245368779,0.203573115219772,3.8865114605857,0.000101695127596646,0.00989180683430456,"PF3D7_0102600","serine/threonine protein kinase, FIKK family (FIKK1)"
"PF3D7_0102700",569.703065522448,0.0975572186917365,0.233759515315851,0.417340096551446,0.676429664083931,0.890015733801176,"PF3D7_0102700","merozoite-associated tryptophan-rich antigen (MaTrA)"
"PF3D7_0102800",90.2927641080778,-0.510386632132569,0.189147846525497,-2.69834757047456,0.00696846425291543,0.119075987132589,"PF3D7_0102800","conserved Plasmodium protein, unknown function"
"PF3D7_0102900",4732.28585555571,-0.15026511542815,0.0992480998115052,-1.51403518771178,0.130016915163115,0.467390464968719,"PF3D7_0102900","aspartate--tRNA ligase"
"PF3D7_0103000",70.6297065319721,-0.260297226062661,0.208978383204494,-1.24557010189877,0.212922264354838,0.572546950083345,"PF3D7_0103000","vacuolar protein sorting-associated protein VTA1, putative"
"PF3D7_0103100",305.102920262982,-0.0115469097483641,0.201548440337698,-0.0572909903396773,0.954313397233883,0.990203866983289,"PF3D7_0103100","vacuolar protein sorting-associated protein 51, putative (VPS51)"
"PF3D7_0103200",1592.93955335847,-0.170673429377476,0.141340187746002,-1.20753645583228,0.227225614195657,0.581269877052962,"PF3D7_0103200","nucleoside transporter 4 (NT4)"
"PF3D7_0103300",3486.02975324431,-0.0626336548914729,0.0978495421672125,-0.640101665314283,0.522106506421577,0.81378780088758,"PF3D7_0103300","conserved Plasmodium protein, unknown function"
"PF3D7_0103400",4695.78968957675,-0.0664554174319024,0.150601417375798,-0.441266879089693,0.659019801035549,0.882691478995234,"PF3D7_0103400","zinc-carboxypeptidase, putative"
"PF3D7_0103500",250.494930340228,0.0972024233230958,0.143690391429846,0.676471282149389,0.498741473170661,0.800836308348319,"PF3D7_0103500","conserved Plasmodium protein, unknown function"
"PF3D7_0103600",1085.63479461471,-0.105865313476563,0.180802603850458,-0.585529805555921,0.5581915314287,0.830557107669468,"PF3D7_0103600","ATP-dependent RNA helicase, putative"
"PF3D7_0103700",233.077348742115,-0.231422790039225,0.197042097134115,-1.17448399811594,0.240201217713063,0.594645220142478,"PF3D7_0103700","L-seryl-tRNA(Sec) kinase, putative (PSTK)"
"PF3D7_0103800",74.1372096724506,-0.0412183747589103,0.334371114464071,-0.123271338270278,0.90189223644873,0.973074004257184,"PF3D7_0103800","actin-related protein (ARP1)"
"PF3D7_0103900",551.491144428531,-0.390528637549712,0.119028070688332,-3.28097931262187,0.00103447331387428,0.0418595288807487,"PF3D7_0103900","parasite-infected erythrocyte surface protein (PIEPS15)"
"PF3D7_0104000",14.0975897197282,0.0816297529285909,0.550608670056094,0.148253664295324,0.88214258171133,0.96619254618794,"PF3D7_0104000","thrombospondin-related sporozoite protein (TRSP)"
"PF3D7_0104100",256.197249594248,-0.0164662359194005,0.21641742770276,-0.0760855356899269,0.939351047629118,0.984738055719299,"PF3D7_0104100","conserved Plasmodium membrane protein, unknown function"
"PF3D7_0104200",3032.64954269025,0.119491123816938,0.156527143559998,0.763389154745142,0.445231345891719,0.768069627394378,"PF3D7_0104200","StAR-related lipid transfer protein"
"PF3D7_0104300",35199.4491107052,0.234429317725864,0.108895065072619,2.15280019870074,0.0313343845342873,0.250604762217036,"PF3D7_0104300","ubiquitin carboxyl-terminal hydrolase 1, putative (UBP1)"
"PF3D7_0104400",987.356628498544,-0.141286828341187,0.10808954427867,-1.30712761612659,0.191169373586373,0.549082732311116,"PF3D7_0104400","4-hydroxy-3-methylbut-2-enyl diphosphate reductase (LytB)"
"PF3D7_0104500",912.588887913171,-0.0674797590345612,0.151496121287694,-0.445422354453655,0.65601456030697,0.881928323573471,"PF3D7_0104500","conserved protein, unknown function"
"PF3D7_0104600",282.352429912595,-0.15844386836972,0.178500438938199,-0.887638536421619,0.374735217518502,0.720117010667792,"PF3D7_0104600","conserved Plasmodium protein, unknown function"
"PF3D7_0104700",9.72028534743496,-0.11307614099664,0.626977998939002,-0.180351050894915,0.856876979854185,NA,"PF3D7_0104700","transporter, putative"
"PF3D7_0104800",363.737792202812,-0.573056817515567,0.27723869572653,-2.06701599145032,0.0387326471369404,0.273738199416684,"PF3D7_0104800","novel putative transporter 1 (NPT1)"
"PF3D7_0105100",54.0145545709671,-0.455787469885196,0.403813783635174,-1.12870706339479,0.259021428631904,0.615662775385419,"PF3D7_0105100","conserved Plasmodium protein, unknown function"
"PF3D7_0105200",930.613632891364,-0.184685163597411,0.160536788822322,-1.15042268474559,0.24996982134595,0.606078354249339,"PF3D7_0105200","RAP protein, putative"
"PF3D7_0105300",339.520375921622,-0.0924438284628986,0.232988920802675,-0.396773495256421,0.69153449754714,0.895260171127062,"PF3D7_0105300","cyclase-associated protein (CAP)"
"PF3D7_0105400.1",69.6283431933543,0.390611471225403,0.441675499060673,0.884385645244369,0.376488069270002,0.720892491896524,"PF3D7_0105400.1","conserved Plasmodium protein, unknown function"
"PF3D7_0105400.2",22.4579192547913,-0.361513638220742,0.546510028061358,-0.661494976593831,0.508294935087918,0.805437274960743,"PF3D7_0105400.2","conserved Plasmodium protein, unknown function"
"PF3D7_0105500",65.3739745384141,-0.304982433806677,0.328969336684353,-0.927084684793307,0.353882567212835,0.703873022322604,"PF3D7_0105500","conserved Plasmodium protein, unknown function"
"PF3D7_0105600",1845.92238281882,-0.0938823081265855,0.141623743978122,-0.662899493329934,0.507394926257602,0.804767493575087,"PF3D7_0105600","conserved Plasmodium protein, unknown function"
"PF3D7_0105700",2266.74173890348,-0.277382513746545,0.204706581989906,-1.3550248900166,0.17540962708423,0.53182730382629,"PF3D7_0105700","asparagine-rich antigen Pfa35-2"
"PF3D7_0105800",967.124012858275,-0.457186236991792,0.147009869281658,-3.10990166324047,0.00187149638808961,0.0594724923364527,"PF3D7_0105800","conserved Plasmodium protein, unknown function"
"PF3D7_0105900",133.32284303022,-0.582553673673456,0.367776366425643,-1.58398887708636,0.11319625030567,0.44008196314072,"PF3D7_0105900","DNA binding protein, putative"
"PF3D7_0106000",762.914802147696,-0.184004714071687,0.169366592679789,-1.08642862302587,0.277289403791975,0.635672398767078,"PF3D7_0106000","conserved Plasmodium protein, unknown function"
"PF3D7_0106100",1363.63201604624,-0.113123266218134,0.159584021918909,-0.708863361493773,0.478409273435474,0.791497721452386,"PF3D7_0106100","V-type proton ATPase subunit C, putative"
"PF3D7_0106200",41.1580636250234,-0.266479158600171,0.330064432659151,-0.807354965372343,0.419462004997328,0.752354191942016,"PF3D7_0106200","conserved Plasmodium protein, unknown function"
"PF3D7_0106300",20470.1424490408,0.0152397229222075,0.107463016722843,0.141813652612342,0.887227199838776,0.968096541712892,"PF3D7_0106300","calcium-transporting ATPase (ATP6)"
"PF3D7_0106400",1088.77232050881,0.20958443655823,0.16248928411701,1.28983543559283,0.1971078016662,0.553730846102584,"PF3D7_0106400","pre-rRNA-processing protein TSR2, putative"
"PF3D7_0106500",283.349385295001,-0.0331023364585476,0.236089326254486,-0.140211067495977,0.888493227689871,0.968165707312605,"PF3D7_0106500","conserved Plasmodium protein, unknown function"
"PF3D7_0106600",8.72711640177735,0.504431185490041,0.732222820795358,0.688903939025167,0.490883720455521,NA,"PF3D7_0106600","conserved Plasmodium protein, unknown function"
"PF3D7_0106700",12565.5018182562,0.155144857726455,0.100797326162132,1.53917632176973,0.123761256541234,0.457925702696095,"PF3D7_0106700","small ribosomal subunit assembling AARP2 protein (AARP2)"
"PF3D7_0106800",493.064519071082,-0.303698919475588,0.155990883486135,-1.94690172071871,0.0515465183214741,0.311496164480306,"PF3D7_0106800","ras-related protein Rab-5C (RAB5c)"
"PF3D7_0106900",262.156425250765,-0.183312581920565,0.284069325287834,-0.645309315727149,0.518726756942983,0.81154343848364,"PF3D7_0106900","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative (IspD)"
"PF3D7_0107000.1",571.055321023078,-0.240884174514216,0.21517677188151,-1.11947108606529,0.26293921932852,0.618763006930657,"PF3D7_0107000.1",NA
"PF3D7_0107100",167.617110619189,-0.319470416133465,0.233627986781568,-1.36743213231622,0.171489896405954,0.526633033700564,"PF3D7_0107100","conserved Plasmodium protein, unknown function"
"PF3D7_0107200",57.4969252056327,-0.41503926250007,0.32816521942696,-1.26472653995694,0.205969372679266,0.562225099095724,"PF3D7_0107200","carbon catabolite repressor protein 4, putative"
"PF3D7_0107300",29.9696520635909,-0.259694056490756,0.315154799095625,-0.824020631245281,0.40992783535847,0.74564185818768,"PF3D7_0107300","probable protein, unknown function"
"PF3D7_0107400",94.4839421027735,-0.334352093510147,0.26221732095142,-1.27509537622075,0.202275485773317,0.559381851854258,"PF3D7_0107400","conserved Plasmodium protein, unknown function"
"PF3D7_0107500",38864.642194688,0.311448353689954,0.0846088091987132,3.68103932249517,0.00023228517421259,0.0168235673699069,"PF3D7_0107500","lipid/sterol:H+ symporter"
"PF3D7_0107600",68.7795236504634,0.558361629886699,0.388537308478652,1.43708626611176,0.150693483110228,0.496697440880538,"PF3D7_0107600","serine/threonine protein kinase, putative"
"PF3D7_0107700",73.7822404551769,-0.427358421360036,0.466155495200596,-0.916772248230465,0.35926199782255,0.709408813815421,"PF3D7_0107700","conserved Plasmodium membrane protein, unknown function"
"PF3D7_0107800",741.415546707171,-0.287541280511528,0.168323384361147,-1.70826698621145,0.0875868141057265,0.392272411444246,"PF3D7_0107800","double-strand break repair protein MRE11 (MRE11)"
"PF3D7_0107900",351.837311682859,-0.0617591204973991,0.160145440657695,-0.385643951171903,0.699760378069067,0.898549883796228,"PF3D7_0107900","conserved Plasmodium protein, unknown function"
"PF3D7_0108000",2554.51348628227,-0.238103748938365,0.220204641430639,-1.08128397018082,0.279570815672127,0.637830034131538,"PF3D7_0108000","proteasome subunit beta type-3, putative"
"PF3D7_0108100",137.829372566702,-0.417346697407094,0.199145080449381,-2.09569172617937,0.0361095462951125,0.264315608047292,"PF3D7_0108100","conserved Plasmodium protein, unknown function"
"PF3D7_0108300",56295.0849471833,0.226007213320155,0.132226221714773,1.709246550262,0.0874052894472365,0.392272411444246,"PF3D7_0108300","conserved Plasmodium protein, unknown function"
"PF3D7_0108400.1",947.305566575211,0.244787195442826,0.187818033326217,1.30332104488423,0.192465179259682,0.549993715647158,"PF3D7_0108400.1","mitochondrial carrier protein, putative"
"PF3D7_0108400.2",137.864567417208,0.662930417804738,0.225228111989488,2.94337332915031,0.00324656651966801,0.0800865267503163,"PF3D7_0108400.2","mitochondrial carrier protein, putative"
"PF3D7_0108500",46777.1876367423,0.312434105614033,0.260993531886698,1.1970952052163,0.23126944862983,0.583421880882635,"PF3D7_0108500","conserved Plasmodium protein, unknown function"
