"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes.ORF","genes.GENENAME"
"PF3D7_1248300",45.8715466788636,0.474699767112027,0.405088374359515,1.17184248464937,0.241260302150885,0.884503790653654,"PF3D7_1248300","conserved Plasmodium membrane protein, unknown function"
"PF3D7_1231000",467.407546618432,0.263226396321776,0.212942488114208,1.23613844589155,0.216407106246851,0.884503790653654,"PF3D7_1231000","conserved Plasmodium protein, unknown function"
"PF3D7_0912800",2295.17208228253,-0.105349516216574,0.111567060295855,-0.944270790475316,0.345031288385586,0.92338450529726,"PF3D7_0912800","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative (GCD10)"
"PF3D7_1212000",739.236050043446,0.291119042714471,0.209858631462694,1.38721500605146,0.165376210997956,0.884503790653654,"PF3D7_1212000","glutathione peroxidase-like thioredoxin peroxidase (TPx(Gl))"
"PF3D7_1246700",366.563035516316,0.200593336830825,0.241340114448733,0.831164505283417,0.405880703450466,0.93414388438465,"PF3D7_1246700","conserved Plasmodium protein, unknown function"
"PF3D7_1461300",3046.75215145984,-0.275823466703859,0.265081304095326,-1.04052402958102,0.298096505998916,0.9064201568123,"PF3D7_1461300","40S ribosomal protein S28e, putative"
"PF3D7_1205400",1017.79430641566,-0.216310811519844,0.142581196506371,-1.51710615999901,0.129239883251627,0.884503790653654,"PF3D7_1205400","conserved Plasmodium protein, unknown function"
"PF3D7_1250000",1716.2428931051,0.499260528482288,0.205650306212183,2.42771594984725,0.0151942382058047,0.884503790653654,"PF3D7_1250000","rRNA-processing protein, putative"
"PF3D7_1327700",350.696201011316,-0.168341400853123,0.206555319352991,-0.81499426584816,0.41507559236287,0.935491318278705,"PF3D7_1327700","regulator of nonsense transcripts 3B, putative (UPF3B)"
"PF3D7_1207900",234.216008486507,0.148383045124033,0.192093768259254,0.772451113165587,0.439847290743411,0.936399078416058,"PF3D7_1207900","conserved Plasmodium protein, unknown function"
"PF3D7_1352200",2863.40262063717,0.00692553765533575,0.141693944751681,0.0488767368815427,0.961017527978673,1,"PF3D7_1352200","U3 small nucleolar RNA-associated protein 15, putative (UTP15)"
"PF3D7_1223500",3451.26042171479,0.0557101328811871,0.147395538539603,0.377963494914188,0.705457712719254,0.981702103439157,"PF3D7_1223500","conserved Plasmodium protein, unknown function"
"PF3D7_1238100",2603.19616419312,-0.0992335194096426,0.183110641024828,-0.541932019101977,0.587865338121787,0.962983648328463,"PF3D7_1238100","calcyclin binding protein, putative"
"PF3D7_0806100",913.476459732828,-0.145797301934625,0.196474049003351,-0.742069004401382,0.458045528276587,0.945193911741754,"PF3D7_0806100","conserved Plasmodium protein, unknown function"
"PF3D7_1464500",4033.31094633833,0.119925508840871,0.153937492938946,0.779053280336551,0.435948329604081,0.936399078416058,"PF3D7_1464500","conserved Plasmodium membrane protein, unknown function"
"PF3D7_0619200",5663.54721065912,0.0322625969351708,0.110458282222315,0.292079473680726,0.77022586036883,0.987720914132303,"PF3D7_0619200","conserved Plasmodium protein, unknown function"
"PF3D7_1202600",34158.4323228214,-0.0978282253712514,0.107303617724587,-0.911695499608824,0.361929033718763,0.925650261388508,"PF3D7_1202600","conserved protein, unknown function"
"PF3D7_0617200",15896.7361769365,0.0887519815729873,0.171420328205229,0.517744788510329,0.604636344419713,0.96310896783501,"PF3D7_0617200","conserved Plasmodium protein, unknown function"
"PF3D7_0824600",894.445229994604,0.102877793730224,0.119606525307615,0.86013529333482,0.389714468218783,0.931894132727158,"PF3D7_0824600","Fe-S cluster assembly protein DRE2, putative (DRE2)"
"PF3D7_1224500",744.421475266197,0.203800061049856,0.257278360485457,0.79213836976148,0.428279999406153,0.936399078416058,"PF3D7_1224500","histone chaperone ASF1, putative (ASF1)"
"PF3D7_1229900.2",75.7302211467873,-0.332524615734642,0.695646064398934,-0.478008333191616,0.632644273929795,0.972804085984918,"PF3D7_1229900.2","conserved Plasmodium protein, unknown function"
"PF3D7_1108700",8074.53969307859,-0.296734629232348,0.153444549721705,-1.93382319391937,0.053134870050363,0.884503790653654,"PF3D7_1108700","heat shock protein DnaJ homologue Pfj2"
"PF3D7_1327300",4001.2065825207,0.428545247341737,0.242857350919382,1.76459656551222,0.0776315931160851,0.884503790653654,"PF3D7_1327300","conserved Plasmodium protein, unknown function"
"PF3D7_1243700",974.303054973814,0.127001605907209,0.238734162971898,0.531979186917451,0.59474041071469,0.962983648328463,"PF3D7_1243700","ubiquitin-conjugating enzyme E2, putative"
"PF3D7_1219100",6144.03384975114,-0.0580658702655136,0.126828536146058,-0.457829696927543,0.647074798545566,0.976753643585961,"PF3D7_1219100","clathrin heavy chain, putative"
"PF3D7_1328400",305.159310983484,-0.319017583588739,0.294244719687651,-1.08419136264326,0.278279960530321,0.89933192000796,"PF3D7_1328400","conserved Plasmodium protein, unknown function"
"PF3D7_1221100.1",22.8902385424543,0.156200383848036,0.516847262316124,0.3022176864168,0.762486122442259,0.9855772238745,"PF3D7_1221100.1",NA
"PF3D7_1230400",395.011384803663,-0.270552408263974,0.322576151816836,-0.838724148515472,0.401624123926087,0.931894132727158,"PF3D7_1230400","ATP-dependent protease subunit ClpQ (ClpQ)"
"PF3D7_1410700",384.4593837223,0.129374086414139,0.206313435447327,0.627075430805713,0.530609791378771,0.960987139435767,"PF3D7_1410700","conserved Plasmodium protein, unknown function"
"PF3D7_1432600",697.067651098163,-0.128227744398176,0.171556895479875,-0.747435677473064,0.454800616166541,0.944660914007031,"PF3D7_1432600","conserved Plasmodium protein, unknown function"
"PF3D7_1212500",3253.42287001198,-0.122681230351967,0.186768294895524,-0.656863256264099,0.511268846168627,0.958329700036711,"PF3D7_1212500","glycerol-3-phosphate 1-O-acyltransferase (GAT)"
"PF3D7_1203900",5637.80963922719,-0.182002294696385,0.178134101587557,-1.02171506227249,0.306915780059256,0.909993829216472,"PF3D7_1203900","ubiquitin-conjugating enzyme E2 (UBC)"
"PF3D7_1240000",1139.84416732074,0.0306334245432537,0.11366110915324,0.269515446149246,0.787533057523231,0.987777913439708,"PF3D7_1240000","3-hydroxyisobutyryl-coenzyme A hydrolase, putative"
"PF3D7_1201400",847.921739272668,0.442834477123138,0.284861506117049,1.55456061143333,0.120050750773924,0.884503790653654,"PF3D7_1201400","Plasmodium exported protein, unknown function"
"PF3D7_1252900",208.917871111518,0.224282218166532,0.639811955358908,0.350543962625267,0.725930503079149,0.981702103439157,"PF3D7_1252900","Plasmodium exported protein, unknown function"
"PF3D7_0934500",3043.74686520417,0.0161891747741747,0.145038746638291,0.111619654398617,0.911124987451618,1,"PF3D7_0934500","V-type proton ATPase subunit E, putative"
"PF3D7_1462300",11509.780244204,-0.0341721061268782,0.0860271182405354,-0.397224814986032,0.691201684637631,0.981702103439157,"PF3D7_1462300","conserved Plasmodium protein, unknown function"
"PF3D7_1237000",1104.20657516354,0.0709744544748293,0.140885013233815,0.503775759008796,0.614418964107464,0.966304329317476,"PF3D7_1237000","SUMO-activating enzyme subunit 2 (UBA2)"
"PF3D7_1232700",273.648428144901,0.0830684652593708,0.250892369167384,0.331092035740439,0.74057496726098,0.983212864934107,"PF3D7_1232700","conserved Plasmodium protein, unknown function"
"PF3D7_1231200",152.494454191607,0.222711042141837,0.356176309496273,0.625283142657099,0.531785241804598,0.960987139435767,"PF3D7_1231200","conserved Plasmodium protein, unknown function"
"PF3D7_1213900",11593.570794364,-0.110050309794831,0.0896238772417297,-1.2279128417755,0.21947968826554,0.884503790653654,"PF3D7_1213900","conserved Plasmodium protein, unknown function"
"PF3D7_0408200",207.014180782201,0.135152131238964,0.234237304091594,0.576988075247463,0.563947511092846,0.960987139435767,"PF3D7_0408200","conserved Plasmodium protein, unknown function"
"PF3D7_1323200",2603.72048116381,-0.307334541378407,0.144417814958456,-2.12809300200821,0.0333293734212629,0.884503790653654,"PF3D7_1323200","V-type proton ATPase subunit G, putative"
"PF3D7_1235900",4691.6381738211,-0.048176606133699,0.160206168786865,-0.300716298869816,0.763630839047457,0.9855772238745,"PF3D7_1235900","pre-mRNA-splicing factor SYF1, putative (XAB2)"
"PF3D7_1237900",22200.7732975206,0.115504997023439,0.202839697243778,0.569439801936906,0.569057712308075,0.960987139435767,"PF3D7_1237900","conserved Plasmodium protein, unknown function"
