,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes.ORF,genes.GENENAME
PF3D7_0316300.1,406.9954283,24.65066704,2.056558298,11.9863692,4.19E-33,2.12E-29,PF3D7_0316300.1,"inorganic pyrophosphatase, putative"
PF3D7_1130100,2391.346772,-1.888632884,0.231608561,-8.154417408,3.51E-16,8.88E-13,PF3D7_1130100,60S ribosomal protein L38 (RPL38)
PF3D7_0907000,119.8286762,-2.355434997,0.309363919,-7.613799978,2.66E-14,4.49E-11,PF3D7_0907000,"conserved Plasmodium protein, unknown function"
PF3D7_0311500,375.7519611,-1.644528769,0.219803978,-7.481797118,7.33E-14,9.28E-11,PF3D7_0311500,"conserved Plasmodium protein, unknown function"
PF3D7_1112000,86.75763621,-2.741087184,0.370387657,-7.400589977,1.36E-13,1.37E-10,PF3D7_1112000,"conserved Plasmodium protein, unknown function"
PF3D7_1350300,776.6335986,-1.106515055,0.156100067,-7.08849825,1.36E-12,1.14E-09,PF3D7_1350300,"conserved Plasmodium protein, unknown function"
PF3D7_1412300,2142.096451,-1.596042177,0.234701962,-6.800293281,1.04E-11,7.55E-09,PF3D7_1412300,"nuclear transport factor 2, putative (NTF2)"
PF3D7_0916900,654.9845467,4.11854914,0.610851141,6.742312259,1.56E-11,9.86E-09,PF3D7_0916900,"conserved Plasmodium protein, unknown function"
PF3D7_0506100,779.8344744,-1.300770033,0.20308885,-6.404930802,1.50E-10,8.46E-08,PF3D7_0506100,"60S ribosomal subunit protein L24-2, putative"
PF3D7_0422900,84.16500663,-1.739571372,0.274648065,-6.333819865,2.39E-10,1.21E-07,PF3D7_0422900,"conserved Plasmodium protein, unknown function"
PF3D7_1250500,326.4192784,-1.929296663,0.306015005,-6.304581909,2.89E-10,1.31E-07,PF3D7_1250500,"AP-3 complex subunit sigma, putative"
PF3D7_0921800,855.6347569,-0.880058454,0.13985167,-6.292799041,3.12E-10,1.31E-07,PF3D7_0921800,"ribosome production factor 1, putative (RPF1)"
PF3D7_0714500,1761.036139,-0.958807757,0.152896954,-6.270940878,3.59E-10,1.40E-07,PF3D7_0714500,"transcription elongation factor s-II, putative"
PF3D7_0415700,52.01627761,3.53196494,0.564706138,6.254518418,3.99E-10,1.44E-07,PF3D7_0415700,"conserved Plasmodium protein, unknown function"
PF3D7_1315000,259.2520613,4.236303738,0.682095991,6.210714901,5.27E-10,1.78E-07,PF3D7_1315000,"conserved Plasmodium protein, unknown function"
PF3D7_1459300,69.73166583,3.10881245,0.502360792,6.188405824,6.08E-10,1.92E-07,PF3D7_1459300,"OPA3-like protein, putative"
PF3D7_0825500,3761.523411,-0.909543096,0.147879379,-6.150574227,7.72E-10,2.24E-07,PF3D7_0825500,"protein KRI1, putative (KRI1)"
PF3D7_0720100,718.6635554,-1.454723012,0.23671732,-6.145401653,7.98E-10,2.24E-07,PF3D7_0720100,"small subunit rRNA processing protein, putative"
PF3D7_0520100,1598.203051,1.066838911,0.174235819,6.122959771,9.19E-10,2.45E-07,PF3D7_0520100,"protein phosphatase PPM9, putative (PPM9)"
PF3D7_0926200,33.59487674,3.430886561,0.565913266,6.062566061,1.34E-09,3.23E-07,PF3D7_0926200,"conserved Plasmodium protein, unknown function"
PF3D7_1135700,340.9178728,-2.139390653,0.352710528,-6.065570718,1.31E-09,3.23E-07,PF3D7_1135700,"conserved Plasmodium protein, unknown function"
PF3D7_0415400,637.4340437,-0.679444464,0.112524413,-6.038196009,1.56E-09,3.59E-07,PF3D7_0415400,"coatomer subunit zeta, putative"
PF3D7_1005000,402.1841145,-0.802582374,0.13338488,-6.017041635,1.78E-09,3.78E-07,PF3D7_1005000,"methionine--tRNA ligase, putative (MRSapi)"
PF3D7_1217500,1131.059082,3.235885987,0.537915301,6.015605021,1.79E-09,3.78E-07,PF3D7_1217500,"conserved Plasmodium protein, unknown function"
