ORF,AA01_3D7,AA02_3D7,AA03_3D7,AA04_3D7,AA05_3D7,AA06_3D7,AA07_3D7,AA08_3D7,AA09_3D7,AA10_3D7,AA11_3D7,AA12_3D7,AA13_3D7,AA14_3D7,AA15_3D7,AA16_3D7,AS01_3D7,AS02_3D7,AS03_3D7,AS04_3D7,AS05_3D7,AS06_3D7,AS07_3D7,AS08_3D7,AS09_3D7,AS10_3D7,AS11_3D7,AS12_3D7,AS13_3D7,AS14_3D7,AS15_3D7,AS16_3D7,AA01_FUP,AA02_FUP,AA03_FUP,AA04_FUP,AA05_FUP,AA06_FUP,AA07_FUP,AA08_FUP,AA09_FUP,AA10_FUP,AA11_FUP,AA12_FUP,AA13_FUP,AA14_FUP,AA15_FUP,AA16_FUP,AS01_FUP,AS02_FUP,AS03_FUP,AS04_FUP,AS05_FUP,AS06_FUP,AS07_FUP,AS08_FUP,AS09_FUP,AS10_FUP,AS11_FUP,AS12_FUP,AS13_FUP,AS14_FUP,AS15_FUP,AS16_FUP
PF3D7_0100100,17.4667295,41.4292295,60.3093535,95.290906,88.173535,94.7791645,58.468991,44.5874595,23.349294,12.0279725,8.1629505,5.448126,4.453561,4.809408,4.678617,5.663238,25.103787,39.652457,70.739849,98.2751285,91.853275,81.528946,71.3234595,42.646011,26.134766,14.6551925,7.4726405,5.5235935,5.4699555,4.7744825,4.5294135,6.378666,0.3904735,0.2305345,0.1892005,0.2496955,0.2331815,0.22194,0.1804905,0.2262545,0.274285,0.47284,0.866322,1.166972,1.4300615,3.174032,4.099634,5.350055,0.4656395,0.3220275,0.2957615,0.1946415,0.22218,0.25502,0.249792,0.1990315,0.2791925,0.352753,0.8748565,1.1658765,1.2485565,2.0133705,2.60914,3.217814
PF3D7_0100200,3.865223,3.845525,6.313926,6.7155335,4.229889,5.065038,3.113992,5.799703,7.279406,13.74986,27.92538,24.9840875,12.5810435,6.349487,2.5777915,1.8314105,4.080568,3.966014,5.9069385,5.080173,4.545039,4.6560655,5.65586,7.0688435,9.1987235,12.38431,20.040787,23.979148,15.2360215,6.533569,3.2469835,1.8854945,0,0.100949,0.1630155,0.138175,0.047819,0.0731145,0,0,0.0369,0.086079,0.0682775,0.077604,0.01599,0.1053965,0.414367,0.5143555,0,0.120936,0.1357025,0,0,0.046665,0.1306405,0,0.036309,0.045357,0.137891,0.0500255,0.030859,0.1345705,0.2485525,0.3521285
PF3D7_0100300,36.72903,85.562032,111.1944415,135.2134235,125.6920665,86.1843655,57.541747,46.8332785,32.462488,23.8243255,15.9598775,11.6747,5.760588,5.279314,4.1732635,3.8414295,36.964593,87.1304915,110.848038,121.369005,104.0523375,97.049236,62.8527605,52.04542,35.734814,26.5110305,18.5108335,12.227661,9.779083,7.8392585,6.7487415,6.996213,0.12516,0.1148095,0.0721575,0.235727,0.292404,0.349365,0.246634,0.1685015,0.22347,0.2896425,0.384605,0.463331,0.525363,0.9160305,1.206779,1.358671,0.110249,0.141236,0.137993,0.205815,0.305082,0.2852435,0.2893735,0.213549,0.432259,0.427551,0.3990965,0.501684,0.4622635,0.8093855,0.8842,1.288468
PF3D7_0100400,1.300292,1.091084,2.314431,1.276584,1.531561,1.143545,1.7347645,1.8983345,2.4888005,3.913023,6.2816455,4.217105,2.9535765,1.2015995,1.140838,1.3011425,1.2906135,0.8949695,1.0676515,1.6272035,1.4798285,0.9663715,1.886615,2.247559,2.2669995,3.3162465,5.059652,5.0524285,2.5003545,2.1844375,2.5839645,0.810713,0.087795,0.117609,0.10362,0,0,0,0,0,0,0,0,0.0134825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF3D7_0100600,0.367144,0.622369,0.581964,0.4420905,0.631152,0.447011,0.3294295,0.875455,0.9454745,1.189422,2.930293,1.901718,1.330815,0.8784495,0.3047275,0.0984105,0.278602,0.590187,0.2736985,0.6652225,0.3784335,0.7259615,0.482555,0.806347,0.769679,1.4935245,1.592685,1.819801,1.185722,0.783652,0.340714,0.210399,0.0466405,0,0.0736445,0,0.026403,0.0108765,0,0,0.0326655,0.01578,0.0399095,0.0122975,0,0,0,0,0.031766,0,0,0.104301,0,0.061555,0.0326175,0.063447,0.0176845,0,0.0401795,0.032129,0,0,0.0159785,0
PF3D7_0100700,0,0.819425,1.5519115,0.5584005,0,0,0.5713115,0,1.4366845,0,0,0,0.9430335,0,0.359912,0,0.491292,1.4028505,2.0103895,4.4206375,0.580998,2.4792255,0,0,0,0,0.7476305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809444,0,0,0,0,0,0,0,2.2777685,0,0,0,0,0,0,0,0,0,0,0,0.5694905
PF3D7_0100800,0.045866,0.2384165,0.0401235,0.046374,0,0.0218195,0.02116,0.1964615,0.048502,0.107331,0.2718745,0.1791485,0.069817,0.077734,0,0.057245,0.0183765,0,0.0751715,0.0733525,0.021623,0,0.1815865,0.0330045,0.1543055,0.128932,0.0317805,0.166741,0.07021,0.090737,0.0354335,0.0480815,0,0,0,0.082956,0,0,0,0,0,0,0,0.0130465,0,0.014709,0,0.0323825,0,0,0,0,0,0,0,0,0,0.0214415,0,0,0,0,0,0
PF3D7_0100900,0.280763,0.582919,0.6460345,1.1897595,1.0687325,1.4648135,1.250249,1.4016725,1.7037895,2.518275,5.243871,6.75792,5.32493,3.898256,1.292767,0.6809035,0.3846345,0.887377,0.8429745,1.0202985,1.1291035,0.8679755,0.920413,1.452925,1.8379165,2.95537,3.708086,6.303692,5.216688,4.253402,2.048496,1.537289,0.216501,0.0427555,0.151758,0.0926245,0.1764835,0,0.033804,0.0184505,0.0338415,0,0.0474935,0,0,0.0285895,0,0.0683935,0,0.115248,0,0.05498,0.1970385,0.1276095,0,0.03315,0.018351,0.081688,0,0.0333105,0.028479,0.017373,0.0331045,0.065368
PF3D7_0101000,0.24389,0.4388515,0.4245775,0.606432,0.641145,0.4288125,0.3102405,0.5690775,0.377781,0.270592,0.5555925,0.512442,0.5232265,0.3530535,0.1821625,0.1678,0.5017525,0.388426,0.8479185,0.3294225,0.845108,0.2052445,0.64811,0.3969285,0.2486015,0.301674,0.3217235,0.591973,0.417799,0.2109945,0.35371,0.279435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
