ORF,AA1301_3D7,AA1302_3D7,AA1303_3D7,AA1304_3D7,AA1305_3D7,AA1306_3D7,AA1307_3D7,AA1308_3D7,AA1309_3D7,AA1310_3D7,AA1311_3D7,AA1312_3D7,AA1313_3D7,AA1314_3D7,AA1315_3D7,AA1316_3D7,AA1701_3D7,AA1702_3D7,AA1703_3D7,AA1704_3D7,AA1705_3D7,AA1706_3D7,AA1707_3D7,AA1708_3D7,AA1709_3D7,AA1710_3D7,AA1711_3D7,AA1712_3D7,AA1713_3D7,AA1714_3D7,AA1715_3D7,AA1716_3D7,AS1501_3D7,AS1502_3D7,AS1503_3D7,AS1504_3D7,AS1505_3D7,AS1506_3D7,AS1507_3D7,AS1508_3D7,AS1509_3D7,AS1510_3D7,AS1511_3D7,AS1512_3D7,AS1513_3D7,AS1514_3D7,AS1515_3D7,AS1516_3D7,AS1601_3D7,AS1602_3D7,AS1603_3D7,AS1604_3D7,AS1605_3D7,AS1606_3D7,AS1607_3D7,AS1608_3D7,AS1609_3D7,AS1610_3D7,AS1611_3D7,AS1612_3D7,AS1613_3D7,AS1614_3D7,AS1615_3D7,AS1616_3D7
PF3D7_0100100,16.895198999999998,38.449913,45.890929,98.434985,83.814981,89.491288,48.649176000000004,42.714226000000004,21.231151,10.982094,9.35786,5.846312999999999,3.966904,4.753186,4.965351,6.173769999999999,18.03826,44.408546,74.727778,92.146827,92.532089,100.067041,68.28880600000001,46.460693,25.467437,13.073851,6.968041,5.049939,4.940218,4.86563,4.391883,5.152705999999999,23.854866,38.798442,68.84930899999999,93.161024,98.282028,88.50060500000001,66.99423,43.137095,23.976634,13.917334,7.0931690000000005,5.3931379999999995,5.113373999999999,4.3880360000000005,3.5697910000000004,5.962552,26.352708000000003,40.506471999999995,72.63038900000001,103.38923299999999,85.424522,74.557287,75.652689,42.154927,28.292897999999997,15.393051000000002,7.852111999999999,5.654049,5.826537,5.160929,5.4890360000000005,6.79478
PF3D7_0100200,4.8204400000000005,4.863103,3.209603,7.007451,3.8513050000000004,4.678902,2.899366,5.518783,6.633269,10.669621000000001,24.229472,24.879953,7.993978,4.934029,2.705178,2.1222950000000003,2.910006,2.827947,9.418249000000001,6.423616,4.608473,5.451174,3.328618,6.080623,7.925542999999999,16.830099,31.621288,25.088222000000002,17.168109,7.764945,2.450405,1.540526,4.208546,4.4553709999999995,6.20711,5.2781720000000005,5.9642800000000005,5.829988,5.527463,7.727574000000001,7.707783999999999,12.585115,17.623901999999998,29.111693,15.189517000000002,4.951822,2.6273619999999998,2.453145,3.9525900000000003,3.476657,5.606767,4.882174,3.125798,3.482143,5.784257,6.410113,10.689663000000001,12.183505,22.457672,18.846602999999998,15.282526,8.115316,3.8666050000000003,1.317844
PF3D7_0100300,36.396601000000004,81.566839,111.57749199999999,133.627182,132.90265,85.59070899999999,54.469448,42.786827,29.407311,22.195317000000003,18.655072,13.115867999999999,5.2180480000000005,5.181753,4.666621,4.188839,37.061459,89.557225,110.81139099999999,136.799665,118.48148300000001,86.77802199999999,60.614045999999995,50.87973,35.517665,25.453333999999998,13.264682999999998,10.233532,6.303128,5.376875,3.679906,3.49402,35.167572,81.134427,106.031834,120.788926,109.75572199999999,89.51141899999999,58.082853,44.554951,34.117455,26.980639,18.190495000000002,11.255502,7.4417860000000005,6.303308,4.572043,5.11393,38.761614,93.12655600000001,115.66424199999999,121.94908400000001,98.34895300000001,104.587053,67.622668,59.535889000000005,37.352173,26.041422,18.831172,13.19982,12.11638,9.375209,8.92544,8.878496
PF3D7_0100400,1.9276200000000001,1.091708,0.869267,1.066373,1.534736,0.725745,1.595836,2.5392259999999998,1.9347009999999998,3.221189,5.455756,4.401001,3.041705,0.8710969999999999,1.074402,1.298561,0.672964,1.09046,3.7595949999999996,1.486795,1.528386,1.561345,1.873693,1.257443,3.0429,4.604857,7.107535,4.033208999999999,2.8654479999999998,1.532102,1.207274,1.3037239999999999,1.1872530000000001,1.2239389999999999,1.358382,1.677041,1.1652870000000002,0.912356,2.184361,2.715189,1.7328580000000002,3.164238,3.782382,5.598402,1.9449009999999998,1.509794,2.004667,0.8490040000000001,1.393974,0.5660000000000001,0.776921,1.577366,1.79437,1.0203870000000002,1.588869,1.779929,2.801141,3.468255,6.336922,4.506455,3.0558080000000003,2.859081,3.163262,0.772422
PF3D7_0100700,0.0,0.0,0.0,1.116801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719824,0.0,0.0,1.63885,3.1038229999999998,0.0,0.0,0.0,1.142623,0.0,2.873369,0.0,0.0,0.0,1.8860669999999997,0.0,0.0,0.0,0.982584,1.170843,4.020779,0.0,1.1619959999999998,4.958451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.634858,0.0,8.841275,0.0,0.0,0.0,0.0,0.0,0.0,1.495261,0.0,0.0,0.0,0.0,0.0
PF3D7_0100900,0.370575,0.572372,0.295098,1.202652,0.901761,1.8155119999999998,1.17545,1.045947,1.532274,2.387404,4.917967,6.1411940000000005,4.899913,3.495211,1.195804,0.7055859999999999,0.190951,0.5934659999999999,0.9969709999999999,1.176867,1.2357040000000001,1.114115,1.325048,1.757398,1.875305,2.649146,5.569775,7.374646,5.749947,4.3013010000000005,1.38973,0.656221,0.359402,0.849577,1.419457,1.181926,1.7624279999999999,0.681602,1.0125549999999999,1.48809,1.9989970000000001,3.001741,3.757317,7.173996000000001,5.441305000000001,3.3705510000000003,1.967961,1.799475,0.409867,0.925177,0.266492,0.858671,0.49577899999999997,1.054349,0.8282709999999999,1.4177600000000001,1.676836,2.908999,3.6588550000000004,5.433388,4.992071,5.136253,2.1290310000000003,1.275103
PF3D7_0101100,112.681523,58.523441000000005,80.334851,71.308373,123.26254499999999,55.341115,74.984726,49.70844,44.109043,32.331544,37.635940999999995,32.072169,17.821149,9.161763,16.117228,12.847567999999999,79.53488399999999,81.241086,81.51542099999999,63.820622,70.234913,76.91305600000001,59.434792,49.574442,51.194727,38.232378999999995,32.014208,26.968218,18.576251,15.985475,14.358770999999999,9.005434,43.03097,94.404826,73.60335,72.686243,73.418937,63.366066000000004,51.872396,52.183419,49.065360999999996,44.970524,32.530268,31.689567999999998,20.185661,17.146235,27.954143,20.243081,42.173838,85.263655,70.24874399999999,75.758398,67.243387,118.86396599999999,65.115022,75.98468000000001,51.789296,41.796675,33.521609999999995,29.556764,24.922901,24.207839,36.236032,32.250294
PF3D7_0101200,39.96263,24.702729,40.976184,34.521152,53.600404000000005,29.40585,28.240221999999996,16.04717,13.609094,8.584446,11.513125,8.28218,7.472991,4.700826,6.2952010000000005,6.01961,25.664184,32.992384,36.792291,36.155093,33.309746999999994,30.736209999999996,18.131472,29.178612,11.611203,13.980823000000001,9.605416,7.6612089999999995,2.671017,1.951108,4.357172,1.23786,29.05286,38.797903000000005,39.655761,30.311374,32.846858000000005,28.426059999999996,16.486127,21.274745000000003,22.815455,14.528962,13.06007,9.218731,4.506325,5.939601000000001,4.64923,2.1691,25.962165,47.790890999999995,42.573877,47.910384,33.960569,55.771069999999995,23.388804999999998,30.83649,15.481323000000001,14.653917000000002,10.484919,8.666727,5.374406,5.779864,15.594692000000002,6.047431
PF3D7_0101300,2.479977,0.8614620000000001,1.281289,2.459943,3.754075,1.44071,3.53566,4.348318,6.702432000000001,6.573758,16.630794,21.699996,13.449796,6.957184,10.541412,4.252008,0.9585549999999999,2.191519,3.994942,0.92774,1.986895,1.493352,1.699136,4.333601,5.937671,10.428355999999999,20.731952,26.279139,15.198063000000001,8.977907,9.187058,3.801995,1.194782,1.84152,1.1585239999999999,3.607329,1.924182,3.4219209999999998,2.518221,4.8015620000000006,4.149287,10.22493,11.848981,18.154770000000003,14.993448,8.936698,13.776323999999999,6.553797,0.24473899999999998,3.284493,2.217644,2.012123,4.186876,2.647442,3.229334,7.281486999999999,7.735711,10.320586,18.710428,18.190945000000003,21.254797,9.499766000000001,15.526217,4.164676999999999
PF3D7_0101500,2.595544,1.9999,1.23508,5.604289,6.846750999999999,8.831208,10.710607000000001,11.235831,7.7165669999999995,5.161206,6.258705,3.159408,1.538684,0.658259,0.571492,0.225989,1.4674719999999999,1.000066,2.925021,5.5803449999999994,7.3128850000000005,11.073037,11.715676,13.893495999999999,10.806117,7.522639,3.6127559999999996,2.7590630000000003,1.209565,1.010513,0.426562,0.228277,1.5509760000000001,2.479022,3.5518410000000005,4.8522050000000005,7.7303820000000005,9.634285,11.147111,11.460802000000001,7.910952,7.955335000000001,4.602625,3.168544,1.9913830000000001,0.868762,0.716865,0.573075,1.958143,2.764936,2.021674,6.316522,5.909180999999999,10.350933,12.854664999999999,10.722539999999999,9.597478,6.7724,5.449631,2.801564,2.792708,2.005619,0.9200799999999999,0.464546
