ORF,AA1301_FUP,AA1302_FUP,AA1303_FUP,AA1304_FUP,AA1305_FUP,AA1306_FUP,AA1307_FUP,AA1308_FUP,AA1309_FUP,AA1310_FUP,AA1311_FUP,AA1312_FUP,AA1313_FUP,AA1314_FUP,AA1315_FUP,AA1316_FUP,AA1701_FUP,AA1702_FUP,AA1703_FUP,AA1704_FUP,AA1705_FUP,AA1706_FUP,AA1707_FUP,AA1708_FUP,AA1709_FUP,AA1710_FUP,AA1711_FUP,AA1712_FUP,AA1713_FUP,AA1714_FUP,AA1715_FUP,AA1716_FUP,AS1801_FUP,AS1802_FUP,AS1803_FUP,AS1804_FUP,AS1805_FUP,AS1806_FUP,AS1807_FUP,AS1808_FUP,AS1809_FUP,AS1810_FUP,AS1811_FUP,AS1812_FUP,AS1813_FUP,AS1814_FUP,AS1815_FUP,AS1816_FUP,AS1901_FUP,AS1902_FUP,AS1903_FUP,AS1904_FUP,AS1905_FUP,AS1906_FUP,AS1907_FUP,AS1908_FUP,AS1909_FUP,AS1910_FUP,AS1911_FUP,AS1912_FUP,AS1913_FUP,AS1914_FUP,AS1915_FUP,AS1916_FUP
PF3D7_0100100,0.286916,0.24868800000000002,0.203719,0.24439699999999998,0.220519,0.18198699999999998,0.152613,0.17952200000000001,0.201053,0.47014399999999995,0.800686,0.9542879999999999,1.1584459999999999,3.132062,3.9273,4.668036,0.49403100000000005,0.212381,0.174682,0.254994,0.245844,0.261893,0.20836799999999997,0.272987,0.347517,0.47553599999999996,0.931958,1.379656,1.701677,3.216002,4.271968,6.032074,0.49064399999999997,0.457007,0.239531,0.22279899999999997,0.202381,0.308845,0.243774,0.180592,0.23143000000000002,0.265904,0.885495,0.8312729999999999,1.0386870000000001,2.448552,3.052603,3.3651,0.44063500000000005,0.187048,0.351992,0.166484,0.241979,0.201195,0.25581,0.217471,0.326955,0.43960200000000005,0.864218,1.50048,1.458426,1.5781889999999998,2.165677,3.070528
PF3D7_0101100,0.7006439999999999,2.259836,3.3423849999999997,6.115293,1.9041919999999999,6.155512,5.266664,3.5583720000000003,2.1760669999999998,4.14951,1.818475,2.327409,1.5824559999999999,0.530948,0.311987,0.5324220000000001,0.0,0.0,12.857397,10.212951,9.798842,6.171203,3.3945239999999997,0.0,2.496801,4.0719650000000005,1.969197,0.000131,0.0,0.0,0.024576,0.0,0.0,5.439814,4.136686,3.452901,10.075428,0.0,0.0,2.820004,4e-06,0.0,2.765747,1.564283,2.350597,0.0,1.744879,2.2e-05,4.278376000000001,3.6827739999999998,3.8468440000000004,1.997909,0.0,10.172326,8.417171000000002,2.3147919999999997,0.0,4.44806,2.427032,2.776379,0.0,0.592724,0.6272439999999999,0.0
PF3D7_0101200,83.216802,75.192756,78.83784399999999,68.571742,60.741113,59.145132,56.731097,33.239651,38.135709000000006,40.663055,32.885009000000004,22.382122,9.044091,2.99999,1.9094900000000001,3.0005830000000002,79.733869,72.080119,76.953389,69.062619,65.537679,63.486885,58.322858,49.006137,37.37084,37.127728000000005,23.017565,18.213998,9.277068,2.313883,1.692405,3.2861809999999996,75.998278,78.66929499999999,68.864745,85.39169100000001,70.967138,60.284884,48.55128,44.194904,51.73294,58.603975,41.025795,33.19956,13.090638,12.836885,14.839797,11.962588,82.739506,85.987091,67.97555799999999,97.101493,67.089828,78.273863,52.741756,52.57931899999999,64.60148000000001,59.21669300000001,42.361775,18.751117,15.529448,11.77483,10.726135000000001,9.942039
PF3D7_0102200,21.340961,7.010422,3.136072,1.853909,1.268008,0.48411800000000005,0.171738,0.049424,0.18801800000000002,0.167113,0.246711,0.089196,0.112284,0.137381,0.156186,0.344376,16.94132,7.771847999999999,2.703617,2.925618,1.107464,0.557914,0.340167,0.170267,0.11966900000000001,0.152702,0.18143800000000002,0.059723000000000005,0.12410999999999998,0.071164,0.113015,0.549003,21.784608,7.785195,3.6790550000000004,3.75929,1.116428,0.398387,0.31180399999999997,0.053823,0.142597,0.225313,0.14971199999999998,0.15229,0.12838,0.392874,0.3321,0.6661279999999999,13.726951999999999,10.059357,2.006239,7.717689999999999,1.637681,1.231465,0.422883,0.27434200000000003,0.311473,0.266855,0.2351,0.14859,0.10382100000000001,0.136785,0.261936,0.199903
PF3D7_0102700,184.25110700000002,75.178608,32.544481,16.734261,10.114604,4.352022,1.694866,0.94757,0.87472,1.109947,1.546002,0.9489350000000001,0.887627,0.81863,1.5457239999999999,2.502626,178.820992,66.016224,29.868421,15.042863,9.947946,4.099033,2.883484,1.136675,0.9204559999999999,1.460235,1.4368,0.996237,1.7847849999999998,1.004508,1.227965,3.713282,169.367453,84.580318,24.118738,19.84232,9.730134,6.066674,2.621611,1.08895,1.08499,1.8083,1.215254,1.016599,0.740003,1.869591,3.419549,4.452007,178.228927,90.868736,31.662509000000004,25.252553,10.297919,5.665819,2.571329,0.655346,1.562508,1.1357030000000001,0.9792770000000001,1.255639,1.4855450000000001,1.027081,2.646531,3.048965
PF3D7_0102800,0.042554,0.0,0.18442,0.197878,0.0,0.031113,0.087851,0.252379,0.396455,0.436467,1.546527,2.004739,4.24449,7.023515,6.6265149999999995,6.006029,0.09039900000000001,0.125094,0.07431,0.136142,0.045425,0.09883099999999999,0.0,0.21479499999999999,0.42048100000000005,0.3239,1.5352780000000001,2.752374,6.0308470000000005,6.511253,5.901523,5.555502,0.0,0.335262,0.0,0.16908,0.326413,0.252359,0.093069,0.27670700000000004,0.274223,0.575811,1.330231,1.865662,3.1974259999999997,5.928579,6.64647,5.266094,0.24772800000000003,0.147774,0.06901900000000001,0.309082,0.103899,0.12095299999999999,0.151678,0.201077,0.612137,0.570673,1.117475,2.313908,3.7411529999999997,5.21366,7.102137,6.576672
PF3D7_0102900,25.495932,47.041958,70.214276,80.29004300000001,84.014889,88.622024,89.374059,101.687841,129.144543,136.652925,151.862805,165.032172,138.378639,99.45098,80.13351800000001,55.913104000000004,28.172493,49.38358,75.044957,82.475335,89.467961,86.597513,92.579491,102.154646,122.548348,143.535677,149.272191,164.31858200000002,157.852693,89.691305,62.138929000000005,49.594945,22.871591,53.909131,68.37759100000001,84.096293,92.862866,97.711793,95.1603,104.32928299999999,116.404375,140.129056,143.003285,135.634396,134.389305,113.57701399999999,96.114868,98.575923,23.071842,47.844731,79.027781,85.038415,93.76804200000001,90.948492,87.87696700000001,100.186607,128.321557,142.380235,141.753391,155.268093,139.796843,110.139032,109.06926399999999,116.002499
PF3D7_0103000,0.723843,0.441834,0.23719099999999999,0.127734,0.135727,0.209963,0.327619,0.700716,0.7500760000000001,1.689154,3.7918849999999997,6.258357,11.499473,35.520177000000004,52.554209,45.971796999999995,0.304696,0.539949,0.243633,0.29196300000000003,0.44057799999999997,0.10722000000000001,0.21190599999999998,0.43992,0.751192,1.856069,6.4641660000000005,8.341576,16.348765,36.948454,46.193265999999994,51.553661,0.209688,0.388154,0.0,0.413663,0.30359400000000003,0.0,0.10825699999999999,0.0,0.61753,1.0060719999999999,3.3290339999999996,5.693137,8.02935,25.729305,28.674356,33.278634000000004,0.203403,0.7028220000000001,0.66045,0.17008399999999999,0.169363,0.132036,0.0,0.0,1.439059,1.852169,3.246163,6.381362,11.376659,16.870592000000002,28.400093,38.506338
PF3D7_0103100,0.202378,0.199967,0.260917,0.365539,0.568778,0.260227,0.322416,0.298713,0.314575,0.657067,1.116473,2.352388,2.7202029999999997,11.80228,16.314982,15.487966,0.19326400000000002,0.23296,0.270275,0.477973,0.34339000000000003,0.5038,0.28308099999999997,0.244062,0.299579,0.5967600000000001,1.218284,2.592025,4.0581510000000005,12.948323,15.787832,16.064457,0.26777,0.1647,0.271485,0.391698,0.565646,0.347884,0.24861599999999998,0.23458800000000002,0.478901,0.506845,1.200879,1.516877,1.876443,9.825027,10.221728,10.870042,0.21882600000000002,0.149573,0.47842299999999993,0.698652,0.49495,0.359591,0.161394,0.31306999999999996,0.45111599999999996,0.661766,0.815624,1.773665,2.583284,7.101047,10.249538000000001,14.362082999999998
PF3D7_0103200,1.6488099999999999,6.399362,12.66751,17.455564000000003,22.071664000000002,23.141135000000002,23.207995,37.900341,72.633668,78.870081,95.425686,141.659869,107.255647,104.98441499999998,81.487434,58.476411,1.444854,5.754983999999999,18.151991,21.127425,24.515461,20.938222,24.1368,40.076640000000005,67.887929,80.856721,96.362047,115.418123,120.273701,97.911792,76.139684,53.248734999999996,1.801363,4.595280000000001,13.796242000000001,17.787522,25.073104,24.291339999999998,25.726474,35.683921000000005,61.617012,73.893253,84.826133,91.282999,93.072385,101.072627,93.176223,86.171099,1.665412,4.371975,14.577481,19.933732,22.417126,23.990676999999998,24.379461,33.374547,57.393637,82.603826,87.396417,97.952726,98.775242,95.688523,92.88514599999999,129.5921
