ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_1331400,0.8903235765610457,4.791806323106028,4.303806257078401,4.408020235258801,3.9742857662709152,1.9459234179168563,4.3694796454285365
PF3D7_1351600,0.5644929986724494,4.13654840058964,3.8884186383660535,4.012199084714541,3.7851983901977695,3.1456512795340763,3.9555911284670016
PF3D7_0613200,2.73093560286917,2.9150378884414585,3.5166539563264423,4.123078559430847,2.8822738091898104,2.815256251783424,3.35926105334714
PF3D7_0631600,3.0103490905259984,1.875373232392008,3.946542656166467,2.4031728770965515,4.532392325493119,3.9433931503884976,3.1893702727870368
PF3D7_0611100,2.20278904575302,3.3682373283115665,3.8467352133893766,3.1005776027963203,2.4235654132968656,3.7332260352183586,3.1847788894485323
PF3D7_0200800,1.5402616730484595,2.548001600601149,3.442608094990133,2.9567930309735297,3.1143502075199168,2.7257847707585934,3.0154382335211825
PF3D7_1319500,2.027250350997342,1.9757156662181388,3.853067823236127,2.2558290311003755,3.716977060862571,4.555533827214362,2.9503973953543032
PF3D7_1426900,1.7156811425495098,2.891389724804751,3.4312199954509026,2.1993686769862317,3.030631553365056,2.8894186524371364,2.888152487651735
PF3D7_0317400,1.4752285520869082,3.3380021366334707,2.3490247525044854,3.38909762610767,2.467255199151599,2.106696629078571,2.8858449285993064
PF3D7_0701500,2.7470520573027497,2.1462707937465204,4.282594085437497,1.2191479605676123,3.8396795897569342,3.4923344752625627,2.8719231073771407
PF3D7_1300800,1.9611612547556876,3.4203763462740238,2.324692692755117,2.745442350871409,2.549049987173341,1.9510519772423955,2.7598903442684732
