#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus tag	Protein product	Length	Protein name
1	NC_004325.2	29510	37126	+	813139	PF3D7_0100100	XP_001350936.1	2163	erythrocyte membrane protein 1, PfEMP1
1	NC_004325.2	38982	40207	-	813140	PF3D7_0100200	XP_001350937.1	331	rifin
1	NC_004325.2	42367	46507	-	813141	PF3D7_0100300	XP_001350938.1	1327	erythrocyte membrane protein 1, PfEMP1
1	NC_004325.2	50363	51636	+	813142	PF3D7_0100400	XP_001350939.1	372	rifin
1	NC_004325.2	53778	55006	-	813144	PF3D7_0100600	XP_001350940.1	359	rifin
1	NC_004325.2	56690	56893	-	9221846	PF3D7_0100700	XP_024328877.1	67	Plasmodium exported protein, unknown function,fragment
1	NC_004325.2	59772	61003	+	4794164	PF3D7_0100800	XP_001350942.1	344	rifin
1	NC_004325.2	62187	63400	-	813146	PF3D7_0100900	XP_001350943.1	350	rifin
1	NC_004325.2	65817	66989	-	9221847	PF3D7_0101000	XP_002808598.1	358	rifin
1	NC_004325.2	69304	70417	-	813148	PF3D7_0101100	XP_001350946.1	309	exported protein family 4
1	NC_004325.2	71624	72426	+	813149	PF3D7_0101200	XP_001350947.1	230	exported protein family 3
1	NC_004325.2	74563	75366	+	9221815	PF3D7_0101300	XP_002808599.1	235	Pfmc-2TM Maurer\'s cleft two transmembrane protein
1	NC_004325.2	81765	83106	-	813153	PF3D7_0101600	XP_001350949.1	369	rifin
1	NC_004325.2	87203	88177	-	813155	PF3D7_0101800	XP_001350950.1	289	stevor
1	NC_004325.2	90242	91420	-	813156	PF3D7_0101900	XP_001350951.1	343	rifin
1	NC_004325.2	98819	102282	+	813159	PF3D7_0102200	XP_001350954.1	1085	ring-infected erythrocyte surface antigen
1	NC_004325.2	104704	105209	+	813160	PF3D7_0102300	XP_001350955.1	117	Plasmodium exported protein, unknown function
1	NC_004325.2	110750	115799	-	813162	PF3D7_0102500	XP_001350957.1	1567	erythrocyte binding antigen-181
1	NC_004325.2	119041	121249	-	9221839	PF3D7_0102600	XP_002808600.1	630	serine/threonine protein kinase, FIKK family
1	NC_004325.2	124517	125484	+	813164	PF3D7_0102700	XP_001350959.1	276	merozoite-associated tryptophan-rich antigen
1	NC_004325.2	126318	128141	-	813165	PF3D7_0102800	XP_024328878.1	607	conserved Plasmodium protein, unknown function
1	NC_004325.2	128960	130840	-	813166	PF3D7_0102900	XP_001350961.1	626	aspartate--tRNA ligase
1	NC_004325.2	132086	133624	-	9221817	PF3D7_0103000	XP_002808601.1	259	vacuolar protein sorting-associated protein VTA1, putative
1	NC_004325.2	134353	139257	-	813168	PF3D7_0103100	XP_001350963.1	1634	vacuolar protein sorting-associated protein 51,putative
1	NC_004325.2	140662	142219	-	813169	PF3D7_0103200	XP_001350964.1	434	nucleoside transporter 4
1	NC_004325.2	143640	146396	-	9221818	PF3D7_0103300	XP_002808602.1	918	conserved Plasmodium protein, unknown function
1	NC_004325.2	147915	152777	-	813171	PF3D7_0103400	XP_001350966.2	1620	zinc-carboxypeptidase, putative
1	NC_004325.2	154176	160426	+	9221819	PF3D7_0103500	XP_002808603.2	1823	conserved Plasmodium protein, unknown function
1	NC_004325.2	161131	166229	+	813173	PF3D7_0103600	XP_024328879.1	1534	ATP-dependent RNA helicase, putative
1	NC_004325.2	166513	168687	+	813174	PF3D7_0103700	XP_024328880.1	535	L-seryl-tRNA(Sec) kinase, putative
1	NC_004325.2	169079	171273	-	813175	PF3D7_0103800	XP_001350970.1	380	actin-related protein
1	NC_004325.2	172864	174591	+	813176	PF3D7_0103900	XP_001350971.1	575	parasite-infected erythrocyte surface protein
1	NC_004325.2	175609	176376	+	813177	PF3D7_0104000	XP_001350972.1	163	thrombospondin-related sporozoite protein
1	NC_004325.2	178087	180790	+	813178	PF3D7_0104100	XP_001350973.1	791	conserved Plasmodium membrane protein, unknown function
1	NC_004325.2	182822	184222	-	813179	PF3D7_0104200	XP_001350974.1	466	StAR-related lipid transfer protein
1	NC_004325.2	190269	201230	+	813181	PF3D7_0104300	XP_001350976.3	3499	ubiquitin carboxyl-terminal hydrolase 1,putative
1	NC_004325.2	202536	204143	+	813182	PF3D7_0104400	XP_001350977.1	535	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
1	NC_004325.2	204622	205455	-	813183	PF3D7_0104500	XP_001350978.2	277	conserved protein, unknown function
1	NC_004325.2	206170	210189	+	9221820	PF3D7_0104600	XP_002808604.1	1339	conserved Plasmodium protein, unknown function
1	NC_004325.2	210870	213005	+	813185	PF3D7_0104700	XP_001350980.2	711	transporter, putative
1	NC_004325.2	215776	217509	+	813186	PF3D7_0104800	XP_001350981.1	577	novel putative transporter 1
1	NC_004325.2	221202	221633	+	813187	PF3D7_0105100	XP_001350982.1	143	conserved Plasmodium protein, unknown function
1	NC_004325.2	222254	223960	-	813188	PF3D7_0105200	XP_001350983.1	568	RAP protein, putative
1	NC_004325.2	225110	225779	-	813189	PF3D7_0105300	XP_001350984.1	162	cyclase-associated protein
1	NC_004325.2	226681	227285	-	813190	PF3D7_0105400.1	XP_001350985.1	140	conserved Plasmodium protein, unknown function
1	NC_004325.2	226681	227285	-	813190	PF3D7_0105400.1	XP_024328984.1	133	conserved Plasmodium protein, unknown function
1	NC_004325.2	228485	229519	-	813191	PF3D7_0105500	XP_001350986.1	344	conserved Plasmodium protein, unknown function
1	NC_004325.2	230289	234402	-	813192	PF3D7_0105600	XP_001350987.1	1224	conserved Plasmodium protein, unknown function
1	NC_004325.2	238666	247857	+	813193	PF3D7_0105700	XP_001350988.1	3063	asparagine-rich antigen Pfa35-2
1	NC_004325.2	249231	252010	-	813194	PF3D7_0105800	XP_001350989.1	832	conserved Plasmodium protein, unknown function
1	NC_004325.2	253584	254930	+	813195	PF3D7_0105900	XP_001350990.2	448	DNA binding protein, putative
1	NC_004325.2	255775	258543	-	9221821	PF3D7_0106000	XP_002808605.1	922	conserved Plasmodium protein, unknown function
1	NC_004325.2	260658	261809	-	813197	PF3D7_0106100	XP_001350992.1	383	V-type proton ATPase subunit C, putative
1	NC_004325.2	263340	264223	-	9221822	PF3D7_0106200	XP_002808606.1	215	conserved Plasmodium protein, unknown function
1	NC_004325.2	265208	269173	-	813199	PF3D7_0106300	XP_001350994.1	1228	calcium-transporting ATPase
1	NC_004325.2	272454	273404	+	813200	PF3D7_0106400	XP_001350995.1	156	pre-rRNA-processing protein TSR2, putative
1	NC_004325.2	274315	278550	+	813201	PF3D7_0106500	XP_001350996.2	1411	conserved Plasmodium protein, unknown function
1	NC_004325.2	279115	280014	+	813202	PF3D7_0106600	XP_001350997.1	299	conserved Plasmodium protein, unknown function
1	NC_004325.2	281155	285459	+	813203	PF3D7_0106700	XP_001350998.1	1434	small ribosomal subunit assembling AARP2 protein
1	NC_004325.2	286951	288918	+	813204	PF3D7_0106800	XP_001350999.2	214	ras-related protein Rab-5C
1	NC_004325.2	290386	292590	+	813205	PF3D7_0106900	XP_001351000.2	734	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative
1	NC_004325.2	293642	294968	+	813206	PF3D7_0107000.1	XP_001351001.1	168	centrin-1
1	NC_004325.2	295300	296931	-	813207	PF3D7_0107100	XP_001351002.1	543	conserved Plasmodium protein, unknown function
1	NC_004325.2	297362	299397	+	9221823	PF3D7_0107200	XP_024328939.1	337	carbon catabolite repressor protein 4, putative
1	NC_004325.2	299562	300868	-	813209	PF3D7_0107300	XP_001351004.1	399	probable protein, unknown function
1	NC_004325.2	302937	303398	+	813211	PF3D7_0107400	XP_001351006.1	153	conserved Plasmodium protein, unknown function
1	NC_004325.2	304362	309257	-	813212	PF3D7_0107500	XP_001351007.1	1470	lipid/sterol:H+ symporter
1	NC_004325.2	314618	319405	+	813213	PF3D7_0107600	XP_024328881.1	1595	serine/threonine protein kinase, putative
1	NC_004325.2	320168	321508	+	9221824	PF3D7_0107700	XP_002808608.1	446	conserved Plasmodium membrane protein, unknown function
1	NC_004325.2	322371	326072	+	9221825	PF3D7_0107800	XP_024328985.1	1233	double-strand break repair protein MRE11
1	NC_004325.2	326397	327224	-	813216	PF3D7_0107900	XP_001351011.2	275	conserved Plasmodium protein, unknown function
1	NC_004325.2	328431	329558	-	813217	PF3D7_0108000	XP_024328882.1	218	proteasome subunit beta type-3, putative
1	NC_004325.2	330738	332708	+	813218	PF3D7_0108100	XP_001351013.1	656	conserved Plasmodium protein, unknown function
1	NC_004325.2	337168	343833	+	813219	PF3D7_0108300	XP_001351014.2	2221	conserved Plasmodium protein, unknown function
1	NC_004325.2	344400	346540	-	9221826	PF3D7_0108400.1	XP_002808609.1	330	mitochondrial carrier protein, putative
1	NC_004325.2	345206	346540	-	9221826	PF3D7_0108400.1	XP_024328986.1	174	mitochondrial carrier protein, putative
1	NC_004325.2	349170	349709	+	813221	PF3D7_0108500	XP_001351016.1	179	conserved Plasmodium protein, unknown function
1	NC_004325.2	349995	351626	-	813222	PF3D7_0108600	XP_001351017.2	306	conserved Plasmodium protein, unknown function
1	NC_004325.2	352314	356211	-	813223	PF3D7_0108700	XP_001351018.2	1152	secreted ookinete protein, putative
1	NC_004325.2	357834	360339	+	813224	PF3D7_0108800	XP_001351019.1	360	conserved Plasmodium protein, unknown function
1	NC_004325.2	363318	363992	+	813225	PF3D7_0109000	XP_001351020.1	224	photosensitized INA-labeled protein PHIL1,putative
1	NC_004325.2	365610	368795	+	813226	PF3D7_0109100	XP_001351021.1	1029	LCCL domain-containing protein
1	NC_004325.2	369480	370178	-	813227	PF3D7_0109200	XP_001351022.1	232	cleavage and polyadenylation specificity factor subunit 5, putative
1	NC_004325.2	371815	373012	-	813228	PF3D7_0109300	XP_001351023.1	322	fatty acid elongation protein, GNS1/SUR4 family,putative
1	NC_004325.2	374439	375087	-	813229	PF3D7_0109400	XP_001351024.1	166	tubulin-specific chaperone a, putative
1	NC_004325.2	376294	377004	-	813230	PF3D7_0109500	XP_001351025.1	155	N-acetyltransferase, putative
1	NC_004325.2	377874	378599	-	813231	PF3D7_0109600	XP_001351026.1	150	cold-shock protein, putative
1	NC_004325.2	379149	379806	-	813232	PF3D7_0109700	XP_001351027.2	183	conserved protein, unknown function
