"","ORF","GENENAME"
"1","PF3D7_1400100","erythrocyte membrane protein 1 (PfEMP1), truncated, pseudogene"
"2","PF3D7_1400200","rifin (RIF)"
"3","PF3D7_1400300","rifin (RIF)"
"4","PF3D7_1400400","rifin (RIF)"
"5","PF3D7_1400500","rifin (RIF)"
"6","PF3D7_1400600","rifin (RIF)"
"7","PF3D7_1400700","stevor"
"8","PF3D7_1400800","rifin (RIF)"
"9","PF3D7_1400900","Plasmodium exported protein (PHISTa), unknown function, pseudogene"
"10","PF3D7_1401000","glycophorin binding protein (GBPH)"
"11","PF3D7_1401050",NA
"12","PF3D7_1401100","DnaJ protein, putative"
"13","PF3D7_1401200","Plasmodium exported protein, unknown function"
"14","PF3D7_1401300","aminopeptidase, putative"
"15","PF3D7_1401400","early transcribed membrane protein 14.1 (ETRAMP14)"
"16","PF3D7_1401500","lysophospholipase, putative"
"17","PF3D7_1401600","Plasmodium exported protein (PHISTb), unknown function"
"18","PF3D7_1401700","Plasmodium exported protein, unknown function"
"19","PF3D7_1401800","choline kinase (CK)"
"20","PF3D7_1401900","conserved Plasmodium protein, unknown function"
"21","PF3D7_1402000","conserved Plasmodium protein, unknown function"
"22","PF3D7_1402100","conserved Plasmodium protein, unknown function"
"23","PF3D7_1402200","conserved Plasmodium protein, unknown function"
"24","PF3D7_1402300","26S proteasome regulatory subunit RPN6 (RPN6)"
"25","PF3D7_1402400","U1 small nuclear ribonucleoprotein C, putative"
"26","PF3D7_1402500","ubiquitin-40S ribosomal protein S27a, putative"
"27","PF3D7_1402600","small nucleolar RNA snoR22"
"28","PF3D7_1402700","U2 snRNP-associated SURP motif-containing protein, putative (SR140)"
"29","PF3D7_1402800","conserved Plasmodium protein, unknown function"
"30","PF3D7_1402900","conserved Plasmodium protein, unknown function"
"31","PF3D7_1403000","conserved Plasmodium protein, unknown function"
"32","PF3D7_1403100","conserved Plasmodium protein, unknown function"
"33","PF3D7_1403200","conserved Plasmodium protein, unknown function"
"34","PF3D7_1403300","conserved Plasmodium protein, unknown function"
"35","PF3D7_1403400","conserved Plasmodium protein, unknown function"
"36","PF3D7_1403500","conserved Plasmodium protein, unknown function"
"37","PF3D7_1403600","selenoprotein (Sel1)"
"38","PF3D7_1403700","translocation associated membrane protein, putative (TRAM)"
"39","PF3D7_1403800","nuclear formin-like protein (MISFIT)"
"40","PF3D7_1403900","serine/threonine protein phosphatase CPPED1, putative (CPPED1)"
"41","PF3D7_1404000","DNA-directed RNA polymerase II subunit RPB4, putative (RPB4)"
"42","PF3D7_1404100","cytochrome c, putative"
"43","PF3D7_1404200","conserved Plasmodium protein, unknown function"
"44","PF3D7_1404300","secreted ookinete adhesive protein, putative (SOAP)"
"45","PF3D7_1404400","mitochondrial ribosomal protein L16 precursor, putative"
