"ORF","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PF3D7_1127000","protein phosphatase, putative",4.75264878091939,7.58608206577322,6.44841766772894,3.5537872153813e-07,0.00105049950086671,6.39048506140899
"PF3D7_1229300","conserved Plasmodium protein, unknown function",4.10605629400869,4.85928847680316,4.63963097290971,6.09795089762767e-05,0.0855061586442913,1.61568067698024
"PF3D7_1327300","conserved Plasmodium protein, unknown function",-3.28530062239955,2.66791096228983,-4.51529370812108,8.67789160801333e-05,0.0855061586442913,1.13858867852116
"PF3D7_1413700","conserved Plasmodium protein, unknown function",-2.87256650393735,4.0613284014647,-4.24752421044495,0.000184691766188302,0.11709447911119,0.576979530852513
"PF3D7_1200100","erythrocyte membrane protein 1, PfEMP1 (VAR)",2.18095067556215,5.98577688908502,4.22261059597343,0.000198062380093352,0.11709447911119,0.717709895310138
"PF3D7_1110900","ES2 protein, putative",-1.00690732211975,6.57189796746211,-4.09675164271946,0.000281599339643276,0.122892596071354,0.365516189724196
"PF3D7_0500100","erythrocyte membrane protein 1, PfEMP1 (VAR)",2.56749312637809,6.28614673937811,3.99928971000103,0.000369256753608563,0.122892596071354,0.158158348947037
"PF3D7_1127300","methyltransferase, putative",1.54982465314541,4.1018921439736,3.97159922914515,0.000398707686569897,0.122892596071354,0.0496618999563765
"PF3D7_0531400","conserved Plasmodium protein, unknown function",-1.50072514308356,4.95950546165024,-3.96844456208558,0.000402205494539355,0.122892596071354,-0.0105566803356467
"PF3D7_1430300","acid phosphatase, putative",-2.03401104076215,7.63188197105166,-3.95648620510041,0.000415739499564796,0.122892596071354,0.02097118396836
"PF3D7_0415100","conserved Plasmodium protein, unknown function",1.80050479310616,3.83982379106722,3.8666605787087,0.000532670066726035,0.13243840709195,-0.226634008797882
"PF3D7_0712800","erythrocyte membrane protein 1, PfEMP1 (VAR)",2.01538997338487,6.45601162463749,3.86328562571002,0.000537639000373274,0.13243840709195,-0.179997417259901
"PF3D7_0514300","aspartate--tRNA ligase, putative",-2.1223448782546,2.12045971925516,-3.77557603886405,0.000683870290382983,0.134822447459672,-0.500054670507409
"PF3D7_0526800","conserved Plasmodium protein, unknown function",0.792403746696865,7.87660945993948,3.77255007904124,0.000689552360283699,0.134822447459672,-0.419631779533828
"PF3D7_1249900","apicoplast dimethyladenosine synthase, putative",-1.4084399809842,5.44933300899879,-3.76877446845711,0.000696706636411079,0.134822447459672,-0.429369256696319
"PF3D7_0800100","erythrocyte membrane protein 1, PfEMP1 (VAR)",2.0924263575643,6.7450639026182,3.73071684696136,0.000772978915194544,0.134822447459672,-0.512578530512187
"PF3D7_1452700","U1 snRNA associated protein, putative",-1.58068686462603,3.28738850552564,-3.7265684767977,0.000781768351774741,0.134822447459672,-0.527231433587556
"PF3D7_0412400","erythrocyte membrane protein 1, PfEMP1 (VAR)",2.14411215798926,5.42382086870436,3.70859984649716,0.00082097566112114,0.134822447459672,-0.549083326688913
